class,striking_to_grappling_attempts_ratio
Hybrid Grappler,6.64
Hybrid Grappler,6.64
Striker,6.6
Hybrid Grappler,6.59
Hybrid Grappler,6.55
Hybrid Grappler,6.54
Hybrid Striker,6.5
Hybrid Grappler,6.5
Hybrid Grappler,6.45
Hybrid Grappler,6.44
Hybrid Grappler,6.42
Hybrid Striker,6.41
Striker,6.41
Hybrid Grappler,6.35
Striker,6.33
Striker,6.27
Hybrid Grappler,6.22
Hybrid Grappler,6.2
Striker,6.19
Hybrid Grappler,6.19
Hybrid Grappler,6.17
Hybrid Grappler,6.13
Hybrid Grappler,6.06
Hybrid Grappler,6.04
Hybrid Grappler,6.04
Grappler,6.03
Hybrid Grappler,6.02
Striker,6.01
Hybrid Grappler,6.01
Hybrid Grappler,6
Hybrid Grappler,5.98
Hybrid Grappler,5.98
Hybrid Striker,5.97
Hybrid Striker,5.97
Hybrid Grappler,5.95
Striker,5.94
Hybrid Grappler,5.93
Hybrid Grappler,5.92
Hybrid Grappler,5.9
Hybrid Grappler,5.9
Hybrid Grappler,5.88
Hybrid Grappler,5.88
Hybrid Grappler,5.86
Striker,5.85
Hybrid Grappler,5.84
Hybrid Grappler,5.8
Striker,5.8
Hybrid Grappler,5.79
Hybrid Grappler,5.77
Hybrid Grappler,5.76
Striker,5.76
Hybrid Grappler,5.75
Hybrid Grappler,5.75
Hybrid Grappler,5.73
Hybrid Grappler,5.71
Hybrid Grappler,5.71
Hybrid Striker,5.7
Hybrid Grappler,5.69
Hybrid Grappler,5.68
Striker,5.67
Hybrid Grappler,5.66
Hybrid Grappler,5.63
Hybrid Grappler,5.62
Hybrid Grappler,5.6
Hybrid Grappler,5.59
Hybrid Striker,5.57
Hybrid Grappler,5.53
Hybrid Grappler,5.53
Striker,5.52
Hybrid Grappler,5.5
Hybrid Grappler,5.5
Hybrid Grappler,5.5
Hybrid Grappler,5.5
Hybrid Grappler,5.5
Hybrid Grappler,5.48
Hybrid Grappler,5.46
Hybrid Grappler,5.46
Hybrid Grappler,5.43
Hybrid Grappler,5.4
Hybrid Grappler,5.39
Hybrid Grappler,5.38
Hybrid Grappler,5.36
Hybrid Grappler,5.31
Hybrid Grappler,5.28
Hybrid Grappler,5.26
Hybrid Grappler,5.25
Hybrid Grappler,5.24
Hybrid Striker,5.23
Hybrid Grappler,5.23
Hybrid Grappler,5.21
Hybrid Grappler,5.19
Hybrid Striker,5.18
Hybrid Grappler,5.12
Hybrid Grappler,5.11
Hybrid Grappler,5.09
Striker,5.07
Hybrid Grappler,5.07
Striker,5.06
Grappler,5.03
Striker,5.03
Hybrid Grappler,5.02
Hybrid Grappler,5.01
Hybrid Grappler,5
Hybrid Grappler,5
Hybrid Grappler,5
Striker,4.98
Hybrid Grappler,4.97
Hybrid Grappler,4.95
Hybrid Grappler,4.95
Hybrid Grappler,4.95
Hybrid Grappler,4.91
Hybrid Grappler,4.89
Hybrid Grappler,4.89
Hybrid Grappler,4.87
Hybrid Grappler,4.86
Hybrid Grappler,4.86
