Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Lando Vannata,Striker,14.09,2.82
Chad Laprise,Striker,14.05,8.12
Craig White,Striker,14,31
Steve Bosse,Striker,14,39
Thanh Le,Striker,14,15
Christian Colombo,Striker,13.97,55
Tiago Trator,Striker,13.91,42.48
James Vick,Striker,13.88,37.47
Tom Lawlor,Striker,13.75,39
Valerie Letourneau,Striker,13.71,18.6
Danny Martinez,Striker,13.66,46.84
Bethe Correia,Striker,13.64,13.43
Lorenz Larkin,Striker,13.61,43.25
Ryan Jimmo,Striker,13.56,47
Daniel Sarafian,Striker,13.5,1599
Sam Alvey,Striker,13.4,4.72
Lyoto Machida,Striker,13.35,19.48
Davi Ramos,Striker,13.1,39.48
Terrion Ware,Striker,13.01,100.41
Bradley Scott,Striker,13,24.97
Robbie Lawler,Striker,12.9,57.19
Jonathan Wilson,Striker,12.83,66.92
Lina Lansberg,Striker,12.63,59.47
K.J. Noons,Striker,12.55,2099
Sabah Homasi,Striker,12.53,37.71
Rolando Dy,Striker,12.44,141.01
Jeremy Stephens,Striker,12.42,25.24
Elizeu Zaleski dos Santos,Striker,12.41,23.57
Brad Tavares,Hybrid Striker,12.4,21.99
Roxanne Modafferi,Hybrid Grappler,12.37,106.69
Joey Gomez,Striker,12.36,639
Desmond Green,Striker,12.34,62.83
Alex Caceres,Striker,12.32,21.48
Gian Villante,Striker,12.13,14.33
Angela Hill,Striker,12.09,65.5
Steve Kennedy,Striker,12,31
Renan Barao,Hybrid Grappler,11.88,33.25
Yves Jabouin,Hybrid Striker,11.78,364.22
Alex White,Hybrid Striker,11.72,18.26
Jose Aldo,Striker,11.58,14.19
Lucie Pudilova,Hybrid Striker,11.57,31.88
Darrell Montague,Hybrid Striker,11.4,132.33
Julian Erosa,Hybrid Striker,11.36,55.07
Claudio Puelles,Hybrid Striker,11.33,427.57
Adriano Martins,Hybrid Striker,11.31,38.89
David Teymur,Hybrid Striker,11.12,89.17
John Makdessi,Hybrid Striker,11.04,48.03
Alptekin Ozkilic,Hybrid Striker,11.04,16.16
Artem Lobov,Hybrid Striker,11,13.13
Jake Collier,Hybrid Striker,10.99,15.86
John Dodson,Striker,10.94,52.76
Rashid Magomedov,Hybrid Striker,10.93,1269.59
Katlyn Chookagian,Hybrid Striker,10.92,150.26
Kyle Bochniak,Hybrid Striker,10.81,76.92
Francisco Rivera,Hybrid Striker,10.76,231.84
Pearl Gonzalez,Hybrid Striker,10.73,179
Matt Dwyer,Hybrid Striker,10.7,959
Taylor Lapilus,Hybrid Striker,10.69,549
Alex Morono,Hybrid Striker,10.69,138.53
Rogerio Nogueira,Hybrid Striker,10.65,386.1
JJ Aldrich,Hybrid Striker,10.63,166.44
Augusto Montano,Hybrid Striker,10.63,114.07
Mark Hunt,Striker,10.58,35.72
Gilbert Melendez,Striker,10.56,92.62
Bec Rawlings,Hybrid Striker,10.44,17.69
Joaquim Silva,Hybrid Striker,10.42,152.85
Pedro Munhoz,Hybrid Striker,10.38,30.54
Karolina Kowalkiewicz,Hybrid Grappler,10.32,16.27
Raphael Assuncao,Hybrid Grappler,10.23,154.56
Cody Garbrandt,Striker,10.22,55.67
Rob Font,Hybrid Striker,10.12,33.42
Stefan Struve,Hybrid Grappler,10.1,34.88
Steven Peterson,Hybrid Striker,10.05,32.44
Jake Ellenberger,Striker,10.01,27.03
Guto Inocente,Hybrid Striker,10,15
Leo Kuntz,Hybrid Striker,10,1999
