Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Francis Carmont,Hybrid Grappler,3.45,341.86
Brandon Moreno,Grappler,3.45,10.56
Yana Kunitskaya,Striker,3.43,136.14
Arjan Bhullar,Hybrid Grappler,3.43,39.96
Scott Askham,Hybrid Grappler,3.43,67.57
Jose Quinonez,Hybrid Grappler,3.42,17.53
George Sullivan,Hybrid Grappler,3.41,6.46
Cody Stamann,Striker,3.39,7.58
Alex Garcia,Hybrid Grappler,3.37,3.37
Felipe Arantes,Hybrid Grappler,3.36,11.84
Kyle Noke,Hybrid Grappler,3.36,49
Jan Blachowicz,Hybrid Grappler,3.35,8.54
Felice Herrig,Grappler,3.35,5.24
Chris Beal,Hybrid Grappler,3.35,11.72
Marcin Held,Hybrid Grappler,3.35,10.77
Daniel Spohn,Hybrid Grappler,3.33,87.89
Jonavin Webb,Hybrid Grappler,3.33,47
Rafael Natal,Hybrid Grappler,3.3,5.68
Talita Bernardo,Hybrid Grappler,3.29,20.62
Damien Brown,Hybrid Grappler,3.29,41.59
Leon Edwards,Hybrid Striker,3.28,4.96
Shinsho Anzai,Hybrid Grappler,3.27,20.45
Khalil Rountree Jr.,Hybrid Grappler,3.25,1799
JC Cottrell,Hybrid Grappler,3.25,54.81
Dileno Lopes,Hybrid Grappler,3.24,65.06
Ilir Latifi,Hybrid Striker,3.23,36.75
Tim Gorman,Hybrid Grappler,3.21,47
Fernando Bruno,Hybrid Grappler,3.2,76.42
James Bochnovic,Hybrid Grappler,3.18,23
Glover Teixeira,Hybrid Striker,3.18,4.36
Gabriel Gonzaga,Hybrid Striker,3.17,14.07
Chris Weidman,Hybrid Striker,3.16,10.19
Leandro Silva,Hybrid Grappler,3.15,5.7
Geane Herrera,Hybrid Grappler,3.1,137.95
Jessica Andrade,Hybrid Grappler,3.09,3.27
Francimar Barroso,Hybrid Grappler,3.08,11.09
Pawel Pawlak,Hybrid Grappler,3.08,99.47
Hector Lombard,Striker,3.07,49.4
Tyson Pedro,Hybrid Grappler,3.06,12.83
Gray Maynard,Striker,3.05,14.23
Alexis Davis,Grappler,3.03,9.55
Markus Perez,Hybrid Grappler,3.02,42.64
Michel Prazeres,Grappler,3,8.61
Cain Carrizosa,Hybrid Grappler,3,31
Hakeem Dawodu,Hybrid Grappler,3,1599
Hector Urbina,Hybrid Grappler,3,42.8
Mehdi Baghdad,Hybrid Grappler,3,31
Zu Anyanwu,Hybrid Grappler,3,149
Rin Nakai,Hybrid Grappler,2.97,134.85
Richie Vaculik,Hybrid Grappler,2.96,12.06
Johnny Case,Hybrid Grappler,2.96,5.55
Corey Anderson,Striker,2.95,4.09
Alex Oliveira,Hybrid Grappler,2.95,3.02
Louis Smolka,Hybrid Grappler,2.95,4.59
Rafael dos Anjos,Hybrid Grappler,2.95,8.72
Ildemar Alcantara,Hybrid Grappler,2.94,16.72
Daniel Omielanczuk,Hybrid Grappler,2.92,63.29
Ali Bagautinov,Hybrid Grappler,2.92,9.73
Piotr Hallmann,Hybrid Grappler,2.91,12.31
Dennis Bermudez,Hybrid Grappler,2.91,4.06
Nathan Coy,Hybrid Grappler,2.9,11.27
Wuliji Buren,Hybrid Grappler,2.89,45.88
Kevin Lee,Grappler,2.89,2.5
Rob Whiteford,Hybrid Grappler,2.88,11.89
Hatsu Hioki,Hybrid Grappler,2.88,10.06
Garett Whiteley,Hybrid Grappler,2.87,104.88
Josh Shockley,Hybrid Grappler,2.86,31
Mizuto Hirota,Striker,2.85,11.39
Erick Silva,Hybrid Grappler,2.85,7.31
Frankie Perez,Hybrid Grappler,2.85,47.58
Marvin Vettori,Grappler,2.84,9.78
Katsunori Kikuno,Hybrid Grappler,2.84,3.9
Scott Jorgensen,Hybrid Grappler,2.84,9.7
Randa Markos,Hybrid Grappler,2.84,4.05
Kalindra Faria,Hybrid Grappler,2.83,121.45
Alex Perez,Hybrid Grappler,2.82,9.04
Daniel Jolly,Hybrid Grappler,2.81,63.29
Devin Clark,Hybrid Grappler,2.81,10.21
Nikita Krylov,Hybrid Grappler,2.8,36.11
Marco Beltran,Hybrid Grappler,2.79,93.38
Sam Sicilia,Hybrid Grappler,2.79,3.48
Tim Kennedy,Hybrid Grappler,2.78,87
Ulka Sasaki,Hybrid Grappler,2.77,10.03
Olivier Aubin-Mercier,Hybrid Grappler,2.77,13
Liz Carmouche,Striker,2.77,8.65
Dominic Waters,Hybrid Grappler,2.77,16.21
Matheus Nicolau,Hybrid Grappler,2.76,11.48
Carls John De Tomas,Hybrid Grappler,2.76,143.58
Leandro Issa,Hybrid Grappler,2.75,8.98
Oskar Piechota,Hybrid Grappler,2.75,12.33
Jim Alers,Hybrid Grappler,2.75,60.22
Chas Skelly,Hybrid Grappler,2.75,3.84
David Michaud,Hybrid Grappler,2.75,27.72
Erik Koch,Hybrid Grappler,2.74,24
Brian Ebersole,Hybrid Grappler,2.74,29.97
Vicente Luque,Hybrid Striker,2.74,4.5
Shayna Baszler,Hybrid Grappler,2.73,93.74
Noad Lahat,Hybrid Grappler,2.73,20.82
Neil Magny,Hybrid Striker,2.73,3.25
Leonardo Mafra,Hybrid Grappler,2.72,22.04
Nik Lentz,Hybrid Striker,2.72,5.27
Darren Elkins,Hybrid Grappler,2.72,3.2
Niklas Backstrom,Hybrid Grappler,2.71,39
ALEXEY OLEYNIK,Grappler,2.7,47.24
BJ Penn,Hybrid Striker,2.7,63
Karl Roberson,Hybrid Grappler,2.69,49.7
Darrell Horcher,Hybrid Grappler,2.68,26.27
Joshua Sampo,Hybrid Grappler,2.67,47
Anton Zafir,Hybrid Grappler,2.67,24
Dennis Siver,Hybrid Grappler,2.66,8.52
Miesha Tate,Hybrid Grappler,2.64,4.45
Iuri Alcantara,Hybrid Grappler,2.64,5.7
Matt Frevola,Hybrid Grappler,2.64,17.14
Rustam Khabilov,Hybrid Grappler,2.64,5.3
Ashkan Mokhtarian,Hybrid Grappler,2.64,109.77
Ericka Almeida,Hybrid Grappler,2.64,166.44
Yoel Romero,Striker,2.64,13.02
James Te Huna,Hybrid Grappler,2.63,341.86
CB Dollaway,Hybrid Striker,2.62,4.29
Jordan Johnson,Hybrid Grappler,2.6,7.18
Jordan Rinaldi,Hybrid Grappler,2.59,15.57
Julian Marquez,Hybrid Grappler,2.58,42.98
Luke Sanders,Striker,2.56,18.35
Diego Brandao,Hybrid Grappler,2.55,27.35
Sage Northcutt,Hybrid Grappler,2.55,9.1
Ruan Potts,Hybrid Grappler,2.54,341.86
Dong Hyun Kim,Striker,2.53,20.39
Amanda Cooper,Hybrid Grappler,2.53,8.24
Sean Soriano,Hybrid Grappler,2.52,52.04
Dustin Kimura,Hybrid Grappler,2.52,55
Rani Yahya,Hybrid Grappler,2.52,2.28
Keita Nakamura,Hybrid Grappler,2.52,10.72
Justin Scoggins,Hybrid Grappler,2.52,2.56
Gunnar Nelson,Hybrid Grappler,2.5,16.82
Phil Harris,Hybrid Grappler,2.5,31
Shane Howell,Hybrid Grappler,2.5,31
Eryk Anders,Hybrid Grappler,2.49,12.97
Josh Sampo,Hybrid Grappler,2.48,7
Jessica Penne,Hybrid Grappler,2.47,10.15
Aljamain Sterling,Grappler,2.46,1.69
Davey Grant,Hybrid Grappler,2.46,7.53
Zabit Magomedsharipov,Hybrid Grappler,2.44,4.7
Jussier Formiga,Grappler,2.43,4.75
Vinc Pichel,Hybrid Grappler,2.42,4.34
Jarred Brooks,Hybrid Grappler,2.4,11.12
Godofredo Pepey,Hybrid Grappler,2.4,33.65
Wilson Reis,Hybrid Grappler,2.39,2.65
Sara McMann,Grappler,2.38,1.72
Brendan O'Reilly,Hybrid Grappler,2.35,15.34
Clay Guida,Hybrid Grappler,2.35,6.86
Paige VanZant,Hybrid Grappler,2.33,3999
Vik Grujic,Hybrid Grappler,2.33,69.07
Gegard Mousasi,Hybrid Striker,2.32,2.6
Jon Delos Reyes,Hybrid Grappler,2.32,14.86
Yaotzin Meza,Hybrid Grappler,2.31,31.79
Misha Cirkunov,Hybrid Grappler,2.31,7.93
Yao Zhikui,Hybrid Grappler,2.3,16.47
Erik Perez,Hybrid Grappler,2.3,10.19
Stipe Miocic,Striker,2.29,3.23
Mike Wilkinson,Hybrid Grappler,2.29,31
Leonardo Augusto Leleco,Hybrid Grappler,2.28,47
Derek Brunson,Striker,2.28,1.89
Michelle Waterson,Hybrid Grappler,2.27,4.08
Daniel Cormier,Hybrid Striker,2.27,2.34
Cezar Ferreira,Hybrid Grappler,2.27,2.52
Andrew Sanchez,Hybrid Grappler,2.26,5.17
Josh Stansbury,Hybrid Grappler,2.26,13.41
Ryan Bader,Striker,2.26,13.44
Efrain Escudero,Hybrid Grappler,2.25,9.28
Nordine Taleb,Striker,2.24,6.48
Trevor Smith,Hybrid Grappler,2.24,2.77
Glaico Franca,Hybrid Grappler,2.24,8.61
Andrew Craig,Hybrid Grappler,2.24,999
Juliana Lima,Hybrid Grappler,2.22,3.75
Kevin Casey,Hybrid Grappler,2.2,11.86
Yui Chul Nam,Hybrid Grappler,2.18,20.26
Charlie Brenneman,Hybrid Grappler,2.17,82.48
Dominique Steele,Hybrid Grappler,2.17,27.01
Reginaldo Vieira,Hybrid Grappler,2.15,18.01
Anthony Hamilton,Hybrid Grappler,2.14,3.33
Emil Meek,Hybrid Grappler,2.14,11.03
George Roop,Hybrid Grappler,2.13,55
Teemu Packalen,Hybrid Grappler,2.13,13.02
Lauren Murphy,Striker,2.12,11.1
Christos Giagos,Hybrid Grappler,2.11,20.03
Vitor Miranda,Hybrid Grappler,2.1,11.12
Aspen Ladd,Striker,2.1,30.3
Joe Riggs,Hybrid Grappler,2.07,17.26
Luke Rockhold,Hybrid Grappler,2.06,6.14
Frankie Edgar,Hybrid Striker,2.06,3.44
Cody Pfister,Hybrid Grappler,2.05,6.06
Patrick Holohan,Hybrid Grappler,2.05,42.24
Eric Shelton,Hybrid Grappler,2.05,16.89
Dustin Ortiz,Hybrid Striker,2.05,1.71
Ramsey Nijem,Hybrid Grappler,2.04,10.48
Masanori Kanehara,Hybrid Grappler,2.03,9.11
Danny Henry,Hybrid Grappler,2.03,16.39
Chris Wade,Hybrid Grappler,2,4.15
Mark De La Rosa,Hybrid Grappler,2,159
Ryan Spann,Hybrid Grappler,2,31
Peter Sobotta,Hybrid Grappler,1.99,3.24
Alistair Overeem,Hybrid Striker,1.99,4.23
Dominick Reyes,Striker,1.99,31
Antonio Carlos Jr.,Grappler,1.99,1.5
Alan Patrick,Hybrid Grappler,1.98,4.1
Eddie Gordon,Hybrid Grappler,1.98,10.51
Patrick Cote,Striker,1.97,15.16
Curtis Blaydes,Striker,1.97,9.94
Derrick Lewis,Striker,1.97,4.85
Hans Stringer,Hybrid Grappler,1.95,11.73
Gillian Robertson,Hybrid Grappler,1.95,18.79
Khalil Rountree,Hybrid Grappler,1.95,31
Diego Rivas,Hybrid Grappler,1.95,10.57
Gina Mazany,Hybrid Grappler,1.93,35.76
Amanda Nunes,Striker,1.92,7.52
Zach Makovsky,Hybrid Grappler,1.92,22.23
Marcos Rogerio de Lima,Hybrid Grappler,1.91,11.72
Alexander Volkanovski,Striker,1.91,6.9
Matthew Lopez,Hybrid Grappler,1.91,4.59
Levan Makashvili,Hybrid Grappler,1.91,24.12
Bruno Santos,Hybrid Grappler,1.91,18.28
Oluwale Bamgbose,Hybrid Grappler,1.9,70.52
Charles Oliveira,Hybrid Grappler,1.9,7.21
Aisling Daly,Hybrid Grappler,1.9,19.95
Shawn Jordan,Hybrid Grappler,1.9,10.88
Michael Chiesa,Grappler,1.88,2.42
Tony Sims,Hybrid Grappler,1.88,1499
Jake Matthews,Hybrid Grappler,1.88,2.79
Mads Burnell,Hybrid Grappler,1.88,33.56
Kamaru Usman,Striker,1.88,2.01
Magomed Ankalaev,Hybrid Grappler,1.87,15.3
Enrique Barzola,Hybrid Grappler,1.87,2.87
Jeremy Kennedy,Hybrid Grappler,1.86,7.33
Marcelo Golm,Hybrid Grappler,1.84,31
Soa Palelei,Hybrid Grappler,1.83,28.36
Deiveson Figueiredo,Hybrid Striker,1.83,6.76
Andrew Holbrook,Hybrid Grappler,1.83,7.77
Jared Gordon,Hybrid Grappler,1.82,8.76
Paddy Holohan,Hybrid Grappler,1.8,3.21
Larissa Pacheco,Hybrid Grappler,1.8,23
Russell Doane,Hybrid Grappler,1.78,2.21
Michael McBride,Hybrid Grappler,1.76,221.22
James Moontasri,Hybrid Grappler,1.71,6.23
Kenny Robertson,Hybrid Grappler,1.71,5.81
Michinori Tanaka,Grappler,1.7,8.39
Matt Hobar,Hybrid Grappler,1.7,15.29
Roland Delorme,Hybrid Grappler,1.69,31
Jason Saggo,Hybrid Grappler,1.69,8.18
Milana Dudieva,Hybrid Grappler,1.67,67.85
Chris Kelades,Hybrid Grappler,1.67,11.87
Damian Grabowski,Hybrid Grappler,1.67,39
Josh Samman,Hybrid Grappler,1.67,19.25
Islam Makhachev,Hybrid Grappler,1.66,2.28
Jacare Souza,Hybrid Grappler,1.66,1.46
Carla Esparza,Hybrid Grappler,1.65,3.4
Tim Elliott,Hybrid Grappler,1.63,9.73
Brendan Schaub,Striker,1.62,31
Patrick Cummins,Hybrid Striker,1.61,1.42
Cyril Asker,Hybrid Grappler,1.58,20.88
Siyar Bahadurzada,Hybrid Grappler,1.58,7.49
Jonathan Meunier,Hybrid Grappler,1.58,1799
Yan Cabral,Hybrid Grappler,1.57,10.59
Allen Crowder,Hybrid Grappler,1.56,12.81
Charles Byrd,Hybrid Grappler,1.55,15.49
Magomed Bibulatov,Hybrid Grappler,1.54,10.5
Ian Entwistle,Hybrid Grappler,1.54,23
Sai Wang,Hybrid Grappler,1.52,17.37
Naoki Inoue,Hybrid Grappler,1.52,14.03
Claudio Silva,Hybrid Grappler,1.52,8.06
Yoshihiro Akiyama,Hybrid Grappler,1.51,47
Chris Heatherly,Hybrid Grappler,1.5,34.82
Magnus Cedenblad,Hybrid Grappler,1.5,4.76
Viktor Pesta,Hybrid Grappler,1.49,5.53
Dhiego Lima,Hybrid Grappler,1.49,6.54
Garreth McLellan,Hybrid Grappler,1.49,115.6
Khabib Nurmagomedov,Hybrid Grappler,1.48,3.12
Gregor Gillespie,Hybrid Striker,1.48,3.84
Bartosz Fabinski,Hybrid Grappler,1.47,15.18
Luis Henrique,Hybrid Grappler,1.47,8
Edgar Garcia,Hybrid Grappler,1.47,32.33
Mark Munoz,Striker,1.46,749
Sarah Moras,Hybrid Grappler,1.45,20.78
Colby Covington,Hybrid Grappler,1.45,1.91
Zhang Lipeng,Hybrid Grappler,1.45,6.04
Sultan Aliev,Hybrid Grappler,1.45,14.47
Brett Johns,Hybrid Grappler,1.44,3.81
Tatsuya Kawajiri,Hybrid Grappler,1.43,5
Mirsad Bektic,Hybrid Striker,1.41,1.68
Michael Graves,Hybrid Grappler,1.39,10.97
Cat Zingano,Hybrid Striker,1.38,6.36
Jared Rosholt,Hybrid Grappler,1.37,7.04
Dylan Andrews,Hybrid Grappler,1.36,81.76
Julianna Pena,Hybrid Grappler,1.34,5.87
Manny Bermudez,Hybrid Grappler,1.34,31.73
Eric Spicely,Hybrid Grappler,1.34,17.15
Gadzhimurad Antigulov,Hybrid Grappler,1.33,65.67
Ryan Hall,Hybrid Grappler,1.33,19.87
Aaron Phillips,Hybrid Grappler,1.33,110.63
Thiago Tavares,Hybrid Grappler,1.32,3.5
Kyung Ho Kang,Grappler,1.32,0.04
Demian Maia,Grappler,1.3,1.13
Joseph Morales,Hybrid Grappler,1.3,84.71
Paul Redmond,Hybrid Grappler,1.29,799
Lipeng Zhang,Hybrid Grappler,1.25,74
Polyana Viana,Hybrid Grappler,1.25,81.76
Ray Borg,Grappler,1.25,1.77
Rodrigo de Lima,Hybrid Grappler,1.24,26.65
Tom Niinimaki,Hybrid Grappler,1.23,479
Kazuki Tokudome,Hybrid Grappler,1.23,13.96
Trevin Giles,Hybrid Grappler,1.22,20.78
Danny Mitchell,Hybrid Grappler,1.19,19.45
Joe Ellenberger,Hybrid Striker,1.18,29.38
Jerrod Sanders,Hybrid Grappler,1.17,15.41
Antonio Braga Neto,Hybrid Grappler,1.16,15.98
Song Kenan,Hybrid Grappler,1.15,1199
Makwan Amirkhani,Hybrid Grappler,1.14,9.05
CM Punk,Hybrid Grappler,1.14,31
Tatiana Suarez,Hybrid Grappler,1.13,4.11
Anthony Perosh,Hybrid Grappler,1.11,10.76
Alexis Dufresne,Hybrid Grappler,1.1,11.88
Mickey Gall,Grappler,1.08,9
Roberto Sanchez,Hybrid Grappler,1.08,17.46
Igor Araujo,Hybrid Grappler,1.07,7.16
Mara Romero Borella,Hybrid Grappler,1.06,29
Patrick Walsh,Hybrid Grappler,1.06,11.87
Tamdan McCrory,Hybrid Grappler,1.05,8.93
Royston Wee,Hybrid Grappler,1.05,3.69
Jack May,Hybrid Grappler,1,46.06
Keith Berish,Hybrid Grappler,1,31
Lisa Ellis,Hybrid Grappler,0.91,29.64
Nolan Ticman,Hybrid Grappler,0.89,27.74
Melvin Guillard,Striker,0,23
Rampage Jackson,Striker,0,23
Bigfoot Silva,Striker,0,7
Aleksy Kunchenko,Striker,0,23
Norifumi Yamamoto,Striker,0,15
Mike Swick,Striker,0,23
Sijara Eubanks,Striker,0,23
Weili Zhang,Hybrid Striker,0,23
Nam Phan,Hybrid Striker,0,23
Bubba McDaniel,Hybrid Grappler,0,7
Georges St. Pierre,Hybrid Grappler,0,23
Chan Sung Jung,Hybrid Grappler,0,7
Jennifer Maia,Hybrid Grappler,0,23
Albert Cheng,Hybrid Grappler,0,7
Andrea Lee,Hybrid Grappler,0,23
Brock Lesnar,Hybrid Grappler,0,23
Cory Hendricks,Hybrid Grappler,0,23
Allan Zuniga,Hybrid Grappler,0,23
Amir Sadollah,Hybrid Grappler,0,23
Andre Ewell,Hybrid Grappler,0,23
Anton Berzin,Hybrid Grappler,0,23
Bentley Syler,Hybrid Grappler,0,23
Bobby Voelker,Hybrid Grappler,0,23
Boston Salmon,Hybrid Grappler,0,23
Brad Katona,Hybrid Grappler,0,23
Brian Houston,Hybrid Grappler,0,23
Bruno Korea,Hybrid Grappler,0,23
Bryce Mitchell,Hybrid Grappler,0,23
Carlos Candelario,Hybrid Grappler,0,23
Chance Rencountre,Hybrid Grappler,0,23
Cheyden Leialoha,Hybrid Grappler,0,23
Chris Holdsworth,Hybrid Grappler,0,23
Cindy Dandois,Hybrid Grappler,0,23
CJ Hamilton,Hybrid Grappler,0,23
Cristiano Marcello,Hybrid Grappler,0,23
Daniel Pineda,Hybrid Grappler,0,23
Dave Galera,Hybrid Grappler,0,23
David Zawada,Hybrid Grappler,0,23
DeAnna Bennett,Hybrid Grappler,0,23
Donavon Frelow,Hybrid Grappler,0,23
Don'Tale Mayes,Hybrid Grappler,0,23
Everett Sims,Hybrid Grappler,0,23
Felipe Olivieri,Hybrid Grappler,0,23
Glaico Franca Moreira,Hybrid Grappler,0,23
Guilherme Vasconcelos,Hybrid Grappler,0,23
Ivan Menjivar,Hybrid Grappler,0,23
James Mulheron,Hybrid Grappler,0,23
Jamie Colleen,Hybrid Grappler,0,23
Jay Cucciniello,Hybrid Grappler,0,23
Jessica Rakoczy,Hybrid Grappler,0,23
Jianping Yang,Hybrid Grappler,0,23
Jin Soo Son,Hybrid Grappler,0,23
Joe Giannetti,Hybrid Grappler,0,23
Joe Merritt,Hybrid Grappler,0,23
John Castaneda,Hybrid Grappler,0,23
John Gunther,Hybrid Grappler,0,23
John Hathaway,Hybrid Grappler,0,23
Junior Hernandez,Hybrid Grappler,0,23
Kelly McGill,Hybrid Grappler,0,23
Kennedy Nzechukwu,Hybrid Grappler,0,23
Kevin Aguilar,Hybrid Grappler,0,23
Kevin Holland,Hybrid Grappler,0,23
Khalid Taha,Hybrid Grappler,0,23
Kyle Kingsbury,Hybrid Grappler,0,23
Lance Benoist,Hybrid Grappler,0,23
Lewis Gonzalez,Hybrid Grappler,0,23
Liu Pingyuan,Hybrid Grappler,0,23
Luis Gomez Alvarez,Hybrid Grappler,0,23
Manny Vazquez,Hybrid Grappler,0,23
Marcin Wrzosek,Hybrid Grappler,0,23
Marcio Alexandre,Hybrid Grappler,0,23
Marina Rodriguez,Hybrid Grappler,0,23
Mark Bocek,Hybrid Grappler,0,23
Matt Sayles,Hybrid Grappler,0,23
Matt Wiman,Hybrid Grappler,0,23
Megan Anderson,Hybrid Grappler,0,23
Michael Cora,Hybrid Grappler,0,23
Michael Trizano,Hybrid Grappler,0,23
Michal Oleksiejczuk,Hybrid Grappler,0,23
Mike Pierce,Hybrid Grappler,0,23
Montel Jackson,Hybrid Grappler,0,23
Nad Narimani,Hybrid Grappler,0,23
Nadia Kassem,Hybrid Grappler,0,23
Nazareno Malegarie,Hybrid Grappler,0,23
Nick Catone,Hybrid Grappler,0,23
Nick Roehrick,Hybrid Grappler,0,23
Quinn Mulhern,Hybrid Grappler,0,23
Renee Forte,Hybrid Grappler,0,23
Ricky Palacios,Hybrid Grappler,0,23
Ricky Turcios,Hybrid Grappler,0,23
Rilley Dutro,Hybrid Grappler,0,23
Rodolfo Rubio,Hybrid Grappler,0,23
Roger Zapata,Hybrid Grappler,0,23
Ronaldo Candido De Oliveira,Hybrid Grappler,0,23
Said Nurmagomedov,Hybrid Grappler,0,23
Salim Touahri,Hybrid Grappler,0,23
Shunichi Shimizu,Hybrid Grappler,0,23
Sidney Outlaw,Hybrid Grappler,0,23
Stefan Sekulic,Hybrid Grappler,0,23
Tina Lahdemaki,Hybrid Grappler,0,23
TJ Waldburger,Hybrid Grappler,0,23
Toby Misech,Hybrid Grappler,0,23
Tom Gallicchio,Hybrid Grappler,0,23
Tyler Diamond,Hybrid Grappler,0,23
Wang Guan,Hybrid Grappler,0,23
Will Campuzano,Hybrid Grappler,0,23
Wu Yanan,Hybrid Grappler,0,23
Jake Shields,Grappler,0,23
Yuta Sasaki,Grappler,0,7
Dan Miller,Grappler,0,23
Adam Yandiev,Grappler,0,15
Alex Reyes,Grappler,0,7
Alfred Khashakyan,Grappler,0,7
Alton Cunningham,Grappler,0,7
Amanda Lemos,Grappler,0,15
Angel De Anda,Grappler,0,7
Anthony Lapsley,Grappler,0,7
Ariel Beck,Grappler,0,15
Ben Wall,Grappler,0,7
Bharat Kandare,Grappler,0,7
Carlos Diego Ferreira,Grappler,0,7
Chase Waldon,Grappler,0,7
Christina Marks,Grappler,0,7
Cody Donovan,Grappler,0,7
Colton Smith,Grappler,0,7
Cyrille Diabate,Grappler,0,7
Dan Moret,Grappler,0,15
Dmitry Sosnovskiy,Grappler,0,15
Dom Pilarte,Grappler,0,15
Elias Garcia,Grappler,0,15
Elias Urbina,Grappler,0,15
Estevan Payan,Grappler,0,7
Fabricio Camoes,Grappler,0,7
Filip Pejic,Grappler,0,7
Greg Rebello,Grappler,0,15
Hector Aldana,Grappler,0,15
Hu Yaozong,Grappler,0,15
Humberto Brown Morrison,Grappler,0,7
Izabela Badurek,Grappler,0,15
Jalin Turner,Grappler,0,7
Jamelle Jones,Grappler,0,7
James Gray,Grappler,0,7
Jamie Pickett,Grappler,0,7
Jason High,Grappler,0,15
Jason Jackson,Grappler,0,15
Jesse Taylor,Grappler,0,15
John Phillips,Grappler,0,7
Jose Flores,Grappler,0,15
Josh Appelt,Grappler,0,7
JP Buys,Grappler,0,15
Karine Gevorgyan,Grappler,0,7
Kevin Gray,Grappler,0,7
Lazar Stojadinovic,Grappler,0,15
Livinha Souza,Grappler,0,7
Luigi Vendramini,Grappler,0,15
Luis Pena,Grappler,0,7
Maia Stevenson,Grappler,0,7
Mark Cherico,Grappler,0,7
Martin Svensson,Grappler,0,15
Mayra Bueno Silva,Grappler,0,7
Mike King,Grappler,0,15
Mike Rio,Grappler,0,15
Molly McCann,Grappler,0,15
Nathaniel Wood,Grappler,0,15
Nick Urso,Grappler,0,7
Peter Petties,Grappler,0,15
Phil Hawes,Grappler,0,15
Priscila Cachoeira,Grappler,0,15
Rafaello Oliveira,Grappler,0,7
Richie Smullen,Grappler,0,7
Ricky Rainey,Grappler,0,15
Robert Drysdale,Grappler,0,7
Rocky Lee,Grappler,0,23
Ronny Markes,Grappler,0,7
Ruon Potts,Grappler,0,7
Stanislav Nedkov,Grappler,0,7
Takenori Sato,Grappler,0,15
Thiago Perpetuo,Grappler,0,7
Vagner Rocha,Grappler,0,15
Vernon Ramos,Grappler,0,7
Vincent Morales,Grappler,0,15
Will Chope,Grappler,0,15
Adam Antolin,Grappler,,23
