Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Joshua Burkman,105,0,0,17.2,0.87,44.49,0.71,0,Striker
Joshua Sampo,30,0,0,2.67,0.37,47,0.72,0,Grappler
JP Buys,10,0,0,0,0,15,0.3,0,Grappler
Juan Puig,10,0,0,51,0.96,15,0.3,0,Striker
Julian Erosa,25,0,0,11.36,0.81,55.07,0.78,0,Striker
Julian Marquez,35,0,0,2.58,0.36,42.98,0.7,0,Grappler
Juliana Lima,100,0,0,2.22,0.31,3.75,0.04,0,Grappler
Julianna Pena,45,3,3,1.34,0.2,5.87,0.09,1,Grappler
Julio Arce,40,0,0,15.06,0.86,116.07,0.86,0,Striker
Jumabieke Tuerxun,35,0,0,3.91,0.51,76.06,0.81,0,Grappler
Junior Albini,25,0,0,31,0.93,39,0.67,0,Striker
Junior Dos Santos,90,1,15,26.92,0.92,127.57,0.87,1,Striker
Junior Hernandez,15,0,0,0,0,23,0.44,0,Grappler
Jussier Formiga,115,10,0,2.43,0.34,4.75,0.07,1,Grappler
Justin Edwards,30,0,0,15.4,0.86,275.92,0.92,0,Striker
Justin Gaethje,50,1,17,121.5,0.99,999,0.97,1,Striker
Justin Jones,30,0,0,36.5,0.94,47,0.72,0,Striker
Justin Ledet,50,0,0,47.39,0.96,99,0.84,0,Striker
Justin Salas,20,0,0,4.73,0.58,1199,0.97,0,Grappler
Justin Scoggins,105,0,0,2.52,0.35,2.56,0.02,0,Grappler
Justin Willis,35,0,0,4.17,0.54,26.1,0.56,0,Grappler
Justine Kish,60,0,0,5.19,0.61,18.26,0.39,0,Grappler
K.J. Noons,35,0,9,12.55,0.83,2099,0.99,1,Striker
Kailin Curran,90,0,0,4.95,0.6,15.19,0.35,0,Grappler
Kajan Johnson,95,0,0,4.07,0.53,14.09,0.29,0,Grappler
Kalindra Faria,25,0,0,2.83,0.4,121.45,0.86,0,Grappler
Kamaru Usman,115,1,6,1.88,0.26,2.01,0.01,1,Striker
Karine Gevorgyan,5,0,0,0,0,7,0.11,0,Grappler
Karl Roberson,15,0,0,2.69,0.37,49.7,0.75,0,Grappler
Karolina Kowalkiewicz,110,2,1,10.32,0.79,16.27,0.37,1,Grappler
Katlyn Chookagian,75,1,2,10.92,0.8,150.26,0.89,1,Striker
Katsunori Kikuno,40,0,0,2.84,0.4,3.9,0.05,0,Grappler
Kazuki Tokudome,25,0,0,1.23,0.19,13.96,0.29,0,Grappler
Keita Nakamura,85,0,0,2.52,0.35,10.72,0.23,0,Grappler
Keith Berish,20,0,0,1,0.17,31,0.59,0,Grappler
Kelly Faszholz,30,0,0,55.67,0.96,1199,0.97,0,Striker
Kelly McGill,15,0,0,0,0,23,0.44,0,Grappler
Kelvin Gastelum,155,4,6,7.54,0.73,6.41,0.1,1,Striker
Kennedy Nzechukwu,15,0,0,0,0,23,0.44,0,Grappler
Kenny Robertson,55,0,0,1.71,0.25,5.81,0.09,0,Grappler
Ketlen Vieira,55,4,2,4.15,0.54,8.79,0.19,1,Grappler
Kevin Aguilar,15,0,0,0,0,23,0.44,0,Grappler
Kevin Casey,65,0,0,2.2,0.31,11.86,0.26,0,Grappler
Kevin Gray,5,5,0,0,0,7,0.11,1,Grappler
Kevin Holland,15,0,0,0,0,23,0.44,0,Grappler
Kevin Lee,155,8,2,2.89,0.41,2.5,0.02,1,Grappler
Kevin Souza,25,0,0,351,1,39,0.67,0,Striker
Khabib Nurmagomedov,100,9,8,1.48,0.22,3.12,0.03,1,Grappler
Khalid Murtazaliev,10,0,0,22,0.9,15,0.3,0,Striker
Khalid Taha,15,0,0,0,0,23,0.44,0,Grappler
Khalil Rountree,20,0,0,1.95,0.27,31,0.59,0,Grappler
Khalil Rountree Jr.,30,0,0,3.25,0.45,1799,0.99,0,Grappler
Kiichi Kunimoto,55,0,0,3.61,0.48,30.06,0.59,0,Grappler
Konstantin Erokhin,30,0,0,14.33,0.85,188.47,0.91,0,Striker
Krzysztof Jotko,115,0,0,4.78,0.58,10.22,0.22,0,Grappler
Kurt Holobaugh,20,0,0,103,0.99,31,0.59,0,Striker
Kwan Ho Kwak,20,0,0,134,0.99,31,0.59,0,Striker
Kyle Bochniak,75,0,0,10.81,0.8,76.92,0.81,0,Striker
Kyle Kingsbury,15,0,0,0,0,23,0.44,0,Grappler
Kyle Noke,75,0,0,3.36,0.46,49,0.75,0,Grappler
Kyle Stewart,10,0,0,5.5,0.63,15,0.3,0,Grappler
Kyler Phillips,5,1,4,7,0.71,7,0.11,1,Striker
Kyoji Horiguchi,105,0,0,4.04,0.53,15.25,0.35,0,Grappler
