Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Benson Henderson,110,2,0,1846.0,1035.0,1304.0,653.0,1045.0,529.0,350.0,229.0,14.0,42.0,27.0,19.0,9.0,3.8020833333333335,406.0,106.19791666666667,4.54679802955665,27.931506849315067
Bentley Syler,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Bethe Correia,90,0,1,3191.0,1828.0,2739.0,1399.0,2504.0,974.0,221.0,213.0,0.0,13.0,2.0,27.0,11.0,6.2375,234.0,83.7625,13.636752136752136,13.428857715430862
Bevon Lewis,15,0,2,98.0,49.0,97.0,48.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.275,16.0,14.725,6.125,53.54545454545454
Bharat Kandare,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Bigfoot Silva,5,0,0,0.0,0.0,0.0,0.0,55.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,1.0,4.375,0.0,7.0
Blagoy Ivanov,25,0,0,0.0,0.0,0.0,0.0,614.0,314.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,1.0,24.375,0.0,39.0
Bobby Green,80,0,0,1923.0,878.0,1820.0,786.0,1488.0,734.0,0.0,0.0,0.0,33.0,1.0,34.0,16.0,0.07708333333333334,33.0,79.92291666666667,58.27272727272727,1036.8378378378377
Bobby Nash,25,0,0,345.0,164.0,275.0,103.0,869.0,349.0,44.0,36.0,4.0,13.0,4.0,20.0,6.0,1.2416666666666667,61.0,23.758333333333333,5.655737704918033,19.13422818791946
Bobby Voelker,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Bojan Mihajlovic,30,0,0,77.0,37.0,66.0,28.0,253.0,111.0,9.0,8.0,0.0,2.0,0.0,0.0,0.0,0.6416666666666667,11.0,29.358333333333334,7.0,45.75324675324675
Bojan Velickovic,90,0,1,2187.0,1181.0,1452.0,499.0,1319.0,582.0,375.0,346.0,8.0,47.0,11.0,75.0,25.0,0.63125,430.0,89.36875,5.086046511627907,141.5742574257426
Boston Salmon,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Brad Katona,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Brad Pickett,105,0,0,3609.0,1444.0,3061.0,957.0,1887.0,799.0,716.0,528.0,7.0,181.0,48.0,72.0,22.0,4.1625,904.0,100.8375,3.9922566371681416,24.225225225225227
Brad Tavares,145,0,1,4242.0,2005.0,3690.0,1514.0,2483.0,1076.0,214.0,177.0,0.0,128.0,27.0,104.0,29.0,6.308333333333334,342.0,138.69166666666666,12.403508771929825,21.98546895640687
Bradley Scott,75,1,0,1586.0,865.0,1356.0,652.0,595.0,313.0,98.0,89.0,5.0,19.0,4.0,23.0,6.0,2.8875,122.0,72.1125,13.0,24.97402597402597
Brandon Davis,70,1,0,2927.0,1014.0,2809.0,907.0,1515.0,640.0,103.0,65.0,0.0,10.0,7.0,104.0,48.0,1.3791666666666667,113.0,68.62083333333334,25.902654867256636,49.755287009063444
Brandon Moreno,70,2,0,962.0,456.0,780.0,287.0,3057.0,1307.0,216.0,178.0,12.0,51.0,23.0,121.0,41.0,6.054166666666666,279.0,63.94583333333333,3.4480286738351253,10.56228492773572
Brandon Thatch,45,2,0,566.0,226.0,510.0,178.0,500.0,265.0,46.0,38.0,0.0,11.0,7.0,15.0,8.0,0.20625,57.0,44.79375,9.929824561403509,217.18181818181822
Brendan O'Reilly,50,0,0,638.0,400.0,337.0,137.0,696.0,322.0,239.0,187.0,2.0,30.0,13.0,23.0,9.0,3.060416666666667,271.0,46.93958333333333,2.3542435424354244,15.337644656228726
Brendan Schaub,20,0,0,136.0,65.0,88.0,30.0,156.0,60.0,79.0,46.0,0.0,5.0,1.0,1.0,0.0,0.625,84.0,19.375,1.619047619047619,31.0
Brett Johns,65,1,0,1514.0,1082.0,739.0,393.0,2639.0,1115.0,965.0,837.0,5.0,80.0,54.0,90.0,29.0,13.5,1050.0,51.5,1.4419047619047618,3.814814814814815
Brian Camozzi,30,1,0,257.0,74.0,252.0,69.0,873.0,376.0,5.0,5.0,2.0,6.0,0.0,16.0,6.0,0.625,13.0,29.375,19.76923076923077,47.0
Brian Ebersole,20,0,0,156.0,104.0,94.0,49.0,253.0,105.0,52.0,45.0,0.0,5.0,1.0,11.0,6.0,0.6458333333333334,57.0,19.354166666666668,2.736842105263158,29.967741935483872
Brian Houston,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Brian Kelleher,55,1,1,770.0,435.0,605.0,292.0,3513.0,1362.0,120.0,98.0,6.0,15.0,6.0,74.0,32.0,1.875,141.0,53.125,5.460992907801418,28.333333333333332
Brian Ortega,80,4,3,2166.0,782.0,2058.0,679.0,3168.0,1509.0,204.0,159.0,29.0,27.0,6.0,114.0,44.0,1.6583333333333334,260.0,78.34166666666667,8.330769230769231,47.24120603015075
Brock Lesnar,15,0,0,0.0,0.0,0.0,0.0,260.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,1.0,14.375,0.0,23.0
Bruno Korea,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Bruno Santos,30,0,0,82.0,45.0,51.0,25.0,103.0,73.0,37.0,22.0,0.0,6.0,4.0,3.0,3.0,1.55625,43.0,28.44375,1.9069767441860466,18.27710843373494
Bryan Barberena,95,1,3,4809.0,2798.0,3740.0,1838.0,2016.0,866.0,881.0,733.0,6.0,27.0,11.0,114.0,48.0,8.15,914.0,86.85,5.261487964989059,10.65644171779141
Bryan Caraway,70,1,0,1109.0,419.0,935.0,276.0,1030.0,483.0,77.0,65.0,8.0,70.0,17.0,47.0,27.0,4.214583333333334,155.0,65.78541666666666,7.15483870967742,15.608996539792386
Bryce Mitchell,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Bubba Bush,20,0,0,4.0,2.0,4.0,2.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.625,1.0,19.375,4.0,31.0
Bubba McDaniel,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
CB Dollaway,80,0,1,1711.0,951.0,1388.0,702.0,1697.0,712.0,580.0,410.0,2.0,71.0,38.0,45.0,18.0,15.120833333333334,653.0,64.87916666666666,2.6202143950995405,4.290713695232847
CJ Hamilton,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
CM Punk,20,0,0,8.0,6.0,1.0,0.0,10.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.625,7.0,19.375,1.1428571428571428,31.0
Cain Carrizosa,20,1,0,3.0,0.0,3.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,19.375,3.0,31.0
Cain Velasquez,20,0,1,201.0,117.0,169.0,88.0,578.0,293.0,2.0,2.0,0.0,5.0,4.0,14.0,5.0,0.19166666666666668,7.0,19.808333333333334,28.714285714285715,103.34782608695652
Caio Magalhaes,30,1,2,124.0,79.0,114.0,69.0,579.0,255.0,23.0,23.0,0.0,0.0,0.0,29.0,7.0,0.0125,23.0,29.9875,5.391304347826087,2399.0
Calvin Kattar,45,0,1,527.0,246.0,514.0,235.0,1629.0,711.0,46.0,31.0,0.0,7.0,4.0,39.0,19.0,2.475,53.0,42.525,9.943396226415095,17.18181818181818
Carla Esparza,115,1,0,3993.0,2338.0,2164.0,845.0,2821.0,1089.0,2110.0,1683.0,13.0,290.0,106.0,120.0,52.0,26.160416666666666,2413.0,88.83958333333334,1.6547865727310402,3.3959544477184043
Carlo Pedersoli,20,0,0,181.0,68.0,179.0,67.0,1069.0,533.0,4.0,2.0,0.0,4.0,3.0,72.0,27.0,0.4166666666666667,8.0,19.583333333333332,22.625,46.99999999999999
Carlos Candelario,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Carlos Condit,75,1,1,2863.0,1285.0,2472.0,932.0,3670.0,1822.0,396.0,346.0,5.0,12.0,8.0,194.0,70.0,0.6333333333333333,413.0,74.36666666666666,6.932203389830509,117.42105263157895
Carlos Diego Ferreira,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Carls John De Tomas,25,0,0,102.0,53.0,74.0,30.0,39.0,13.0,33.0,25.0,0.0,4.0,2.0,0.0,0.0,0.17291666666666666,37.0,24.827083333333334,2.7567567567567566,143.57831325301206
Casey Kenney,30,0,0,159.0,72.0,143.0,59.0,0.0,0.0,12.0,7.0,1.0,8.0,3.0,0.0,0.0,1.0125,21.0,28.9875,7.571428571428571,28.629629629629633
Cat Zingano,65,1,1,669.0,495.0,395.0,241.0,1379.0,573.0,450.0,370.0,12.0,22.0,18.0,22.0,13.0,8.829166666666667,484.0,56.170833333333334,1.3822314049586777,6.361963190184048
Cathal Pendred,75,1,0,1274.0,641.0,1117.0,501.0,685.0,322.0,90.0,71.0,6.0,153.0,39.0,25.0,7.0,3.6770833333333335,249.0,71.32291666666667,5.116465863453815,19.39660056657224
Cesar Arzamendia,10,0,0,54.0,23.0,46.0,16.0,25.0,15.0,6.0,3.0,0.0,4.0,3.0,3.0,1.0,0.625,10.0,9.375,5.4,15.0
Cezar Ferreira,105,2,0,2408.0,1358.0,1661.0,669.0,1962.0,959.0,937.0,802.0,7.0,118.0,72.0,69.0,24.0,29.841666666666665,1062.0,75.15833333333333,2.2674199623352167,2.518570231778833
Chad Laprise,95,0,3,4663.0,2081.0,4448.0,1892.0,1776.0,759.0,274.0,232.0,0.0,58.0,31.0,31.0,15.0,10.420833333333333,332.0,84.57916666666667,14.045180722891565,8.116353458616555
Chad Mendes,50,0,2,1046.0,513.0,985.0,456.0,1548.0,660.0,123.0,108.0,0.0,46.0,12.0,64.0,28.0,3.629166666666667,169.0,46.37083333333333,6.189349112426036,12.777267508610791
Chan Sung Jung,5,0,1,0.0,0.0,0.0,0.0,527.0,254.0,0.0,0.0,0.0,0.0,0.0,44.0,18.0,0.625,1.0,4.375,0.0,7.0
Chance Rencountre,15,0,0,0.0,0.0,0.0,0.0,841.0,350.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,0.625,1.0,14.375,0.0,23.0
Chanmi Jeon,30,0,0,252.0,93.0,250.0,92.0,81.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.625,2.0,29.375,126.0,47.0
Charles Byrd,20,2,0,99.0,70.0,62.0,37.0,251.0,111.0,58.0,52.0,3.0,3.0,3.0,14.0,6.0,1.2125,64.0,18.7875,1.546875,15.494845360824744
Charles Oliveira,120,9,0,4127.0,2887.0,2885.0,1749.0,4353.0,1856.0,1759.0,1508.0,107.0,305.0,133.0,139.0,41.0,14.622916666666667,2171.0,105.37708333333333,1.900967296176877,7.206297193332383
Charles Rosa,75,1,0,1176.0,456.0,1060.0,369.0,346.0,150.0,186.0,124.0,16.0,76.0,34.0,7.0,3.0,9.370833333333334,278.0,65.62916666666666,4.23021582733813,7.003557136505113
Charlie Brenneman,20,1,0,63.0,43.0,43.0,23.0,40.0,26.0,22.0,21.0,0.0,7.0,2.0,8.0,4.0,0.23958333333333334,29.0,19.760416666666668,2.1724137931034484,82.47826086956522
Charlie Ward,10,0,0,15.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,9.375,15.0,15.0
Chas Skelly,100,4,1,2239.0,1090.0,1655.0,586.0,2065.0,844.0,625.0,562.0,66.0,124.0,41.0,93.0,28.0,20.641666666666666,815.0,79.35833333333333,2.747239263803681,3.844570044408559
Chase Sherman,85,0,1,3150.0,1346.0,3082.0,1278.0,668.0,296.0,141.0,109.0,0.0,0.0,0.0,27.0,8.0,0.5666666666666667,141.0,84.43333333333334,22.340425531914892,149.0
Chase Waldon,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Cheyden Leialoha,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Chico Camus,75,0,0,990.0,522.0,759.0,313.0,865.0,364.0,243.0,212.0,4.0,17.0,10.0,36.0,14.0,0.025,264.0,74.975,3.75,2998.9999999999995
Chris Avila,30,0,0,150.0,63.0,128.0,42.0,355.0,118.0,3.0,2.0,0.0,1.0,0.0,18.0,6.0,0.625,4.0,29.375,37.5,47.0
Chris Beal,70,0,1,1125.0,503.0,976.0,360.0,676.0,295.0,309.0,229.0,3.0,24.0,15.0,17.0,5.0,5.504166666666666,336.0,64.49583333333334,3.3482142857142856,11.71763815291446
Chris Camozzi,115,2,1,3421.0,2100.0,2754.0,1527.0,2268.0,1028.0,555.0,464.0,18.0,38.0,18.0,88.0,29.0,7.7125,611.0,107.2875,5.599018003273322,13.910858995137762
Chris Cariaso,70,1,0,1473.0,665.0,1309.0,518.0,1243.0,517.0,128.0,96.0,12.0,8.0,6.0,13.0,2.0,1.275,148.0,68.725,9.952702702702704,53.90196078431372
Chris Clements,20,0,1,28.0,26.0,27.0,25.0,252.0,133.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.625,1.0,19.375,28.0,31.0
Chris Dempsey,30,0,0,344.0,134.0,295.0,91.0,157.0,95.0,32.0,28.0,0.0,25.0,6.0,6.0,3.0,0.2916666666666667,57.0,29.708333333333332,6.035087719298246,101.85714285714285
Chris Gruetzemacher,50,1,1,927.0,592.0,729.0,411.0,993.0,399.0,144.0,121.0,0.0,0.0,0.0,47.0,19.0,0.12083333333333333,144.0,49.87916666666667,6.4375,412.7931034482759
Chris Heatherly,10,1,0,9.0,7.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.2791666666666667,6.0,9.720833333333333,1.5,34.82089552238806
Chris Holdsworth,15,0,0,0.0,0.0,0.0,0.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.625,1.0,14.375,0.0,23.0
Chris Indich,20,0,0,65.0,27.0,49.0,12.0,32.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.625,3.0,19.375,21.666666666666668,31.0
Chris Kelades,60,1,0,621.0,410.0,388.0,208.0,1133.0,390.0,343.0,266.0,3.0,26.0,7.0,28.0,16.0,4.6625,372.0,55.3375,1.6693548387096775,11.8686327077748
Chris Wade,85,2,0,1558.0,1161.0,731.0,433.0,536.0,224.0,682.0,553.0,11.0,85.0,48.0,52.0,23.0,16.49375,778.0,68.50625,2.0025706940874035,4.15346722243274
Chris Weidman,90,1,1,1740.0,886.0,1509.0,690.0,2431.0,1156.0,436.0,344.0,1.0,113.0,44.0,52.0,28.0,8.039583333333333,550.0,81.96041666666667,3.1636363636363636,10.194610002591347
Chris de la Rocha,25,0,1,126.0,45.0,122.0,41.0,161.0,92.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.625,7.0,24.375,18.0,39.0
Christian Colombo,35,2,0,447.0,264.0,332.0,155.0,141.0,63.0,30.0,28.0,0.0,2.0,0.0,13.0,2.0,0.625,32.0,34.375,13.96875,55.0
Christina Marks,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Christos Giagos,35,3,0,251.0,133.0,191.0,76.0,685.0,373.0,111.0,80.0,2.0,6.0,2.0,57.0,27.0,1.6645833333333333,119.0,33.33541666666667,2.1092436974789917,20.026282853566958
Cindy Dandois,15,0,0,0.0,0.0,0.0,0.0,247.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.625,1.0,14.375,0.0,23.0
Claudia Gadelha,120,1,0,4727.0,2479.0,3795.0,1619.0,4121.0,1786.0,1084.0,921.0,27.0,239.0,133.0,102.0,42.0,27.204166666666666,1350.0,92.79583333333333,3.5014814814814814,3.4110889875938124
Claudio Puelles,25,1,0,68.0,29.0,68.0,29.0,32.0,11.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.058333333333333334,6.0,24.941666666666666,11.333333333333334,427.57142857142856
Claudio Silva,35,1,0,478.0,326.0,227.0,106.0,552.0,303.0,275.0,229.0,1.0,39.0,9.0,19.0,15.0,3.8645833333333335,315.0,31.135416666666668,1.5174603174603174,8.056603773584905
Clay Collard,60,0,0,1213.0,397.0,1171.0,364.0,675.0,285.0,79.0,47.0,4.0,51.0,15.0,5.0,2.0,2.3916666666666666,134.0,57.608333333333334,9.052238805970148,24.087108013937282
Clay Guida,85,0,1,2919.0,1617.0,2104.0,930.0,1676.0,786.0,1055.0,899.0,5.0,181.0,59.0,117.0,53.0,10.814583333333333,1241.0,74.18541666666667,2.3521353746978244,6.859757272201888
Clint Hester,55,1,0,1235.0,524.0,1190.0,479.0,358.0,150.0,101.0,78.0,0.0,26.0,12.0,2.0,1.0,3.4583333333333335,127.0,51.541666666666664,9.724409448818898,14.903614457831324
Cody Donovan,5,0,0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Cody East,15,0,0,62.0,26.0,62.0,26.0,135.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.14166666666666666,1.0,14.858333333333333,62.0,104.88235294117646
Cody Garbrandt,85,0,4,2852.0,1101.0,2807.0,1056.0,5419.0,2161.0,214.0,130.0,0.0,65.0,27.0,98.0,33.0,1.5,279.0,83.5,10.222222222222221,55.666666666666664
Cody Gibson,45,1,1,366.0,172.0,293.0,109.0,155.0,59.0,39.0,25.0,3.0,20.0,13.0,2.0,1.0,1.1791666666666667,62.0,43.82083333333333,5.903225806451613,37.16254416961131
Cody Pfister,50,2,0,456.0,216.0,300.0,71.0,503.0,221.0,182.0,161.0,0.0,40.0,12.0,11.0,4.0,7.083333333333333,222.0,42.916666666666664,2.054054054054054,6.0588235294117645
Cody Stamann,55,1,0,1138.0,649.0,982.0,509.0,1415.0,645.0,289.0,233.0,0.0,47.0,32.0,78.0,26.0,6.4125,336.0,48.5875,3.386904761904762,7.576998050682262
Colby Covington,140,4,1,5506.0,3674.0,2322.0,1086.0,2991.0,1486.0,3427.0,2698.0,13.0,358.0,179.0,166.0,54.0,48.12291666666667,3798.0,91.87708333333333,1.44971037388099,1.9092168492142516
Cole Miller,65,1,0,1065.0,354.0,1041.0,334.0,1321.0,601.0,20.0,15.0,5.0,9.0,3.0,17.0,7.0,0.8625,34.0,64.1375,31.323529411764707,74.3623188405797
Colton Smith,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Conor McGregor,100,1,6,3263.0,1771.0,2869.0,1384.0,2944.0,1349.0,550.0,432.0,0.0,13.0,8.0,98.0,37.0,7.102083333333334,563.0,92.89791666666666,5.7957371225577266,13.080375476679377
Corey Anderson,155,0,2,10662.0,5819.0,8256.0,3816.0,4079.0,1983.0,3158.0,2488.0,0.0,451.0,232.0,168.0,60.0,30.45,3609.0,124.55,2.954280964256027,4.0903119868637114
Cortney Casey,115,1,1,5329.0,2687.0,4389.0,1836.0,3427.0,1547.0,1060.0,883.0,8.0,17.0,12.0,98.0,43.0,5.370833333333334,1085.0,109.62916666666666,4.911520737327189,20.411947245927074
Cory Hendricks,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Cory Sandhagen,20,0,2,179.0,108.0,147.0,80.0,949.0,420.0,43.0,33.0,0.0,1.0,1.0,17.0,8.0,0.40208333333333335,44.0,19.597916666666666,4.068181818181818,48.740932642487046
Costas Philippou,25,0,1,101.0,39.0,82.0,23.0,330.0,128.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.625,1.0,24.375,101.0,39.0
Court McGee,65,0,0,1395.0,830.0,931.0,421.0,1864.0,741.0,266.0,236.0,2.0,97.0,17.0,46.0,21.0,3.975,365.0,61.025,3.8219178082191783,15.352201257861635
Craig White,20,0,0,28.0,13.0,17.0,6.0,2036.0,918.0,0.0,0.0,0.0,2.0,0.0,92.0,38.0,0.625,2.0,19.375,14.0,31.0
Cris Cyborg,60,0,4,1133.0,701.0,1050.0,622.0,1610.0,567.0,216.0,151.0,0.0,8.0,6.0,16.0,2.0,1.3958333333333333,224.0,58.604166666666664,5.058035714285714,41.985074626865675
Cristiano Marcello,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Cristina Stanciu,20,0,0,88.0,50.0,76.0,39.0,512.0,202.0,16.0,14.0,2.0,1.0,1.0,0.0,0.0,0.675,19.0,19.325,4.631578947368421,28.629629629629626
Cub Swanson,165,1,0,8079.0,4337.0,7258.0,3657.0,4408.0,1953.0,984.0,844.0,5.0,73.0,19.0,149.0,58.0,9.808333333333334,1062.0,155.19166666666666,7.607344632768362,15.822429906542055
Cung Le,20,0,0,0.0,0.0,0.0,0.0,137.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,19.375,0.0,31.0
Curtis Blaydes,85,0,3,2509.0,1527.0,1696.0,854.0,1642.0,922.0,1109.0,917.0,0.0,167.0,87.0,34.0,13.0,7.772916666666666,1276.0,77.22708333333334,1.9663009404388714,9.935406057357278
Curtis Millender,25,0,1,106.0,47.0,106.0,47.0,1008.0,445.0,6.0,3.0,0.0,0.0,0.0,4.0,1.0,0.016666666666666666,6.0,24.983333333333334,17.666666666666668,1499.0
Cynthia Calvillo,50,2,0,582.0,237.0,527.0,193.0,1178.0,554.0,49.0,40.0,17.0,10.0,7.0,72.0,31.0,4.004166666666666,76.0,45.99583333333334,7.657894736842105,11.486992715920918
Cyril Asker,30,1,1,573.0,264.0,360.0,133.0,396.0,165.0,343.0,198.0,1.0,19.0,7.0,4.0,0.0,1.3708333333333333,363.0,28.629166666666666,1.578512396694215,20.88449848024316
Cyrille Diabate,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Daichi Abe,45,0,0,546.0,195.0,537.0,189.0,1485.0,652.0,29.0,24.0,0.0,3.0,2.0,25.0,8.0,0.041666666666666664,32.0,44.958333333333336,17.0625,1079.0000000000002
Damian Grabowski,25,0,0,10.0,4.0,9.0,3.0,933.0,502.0,4.0,2.0,0.0,2.0,0.0,23.0,10.0,0.625,6.0,24.375,1.6666666666666667,39.0
Damian Stasiak,80,2,0,702.0,279.0,658.0,239.0,721.0,306.0,80.0,72.0,12.0,67.0,30.0,33.0,7.0,13.979166666666666,159.0,66.02083333333333,4.415094339622642,4.722801788375559
Damien Brown,70,0,1,1287.0,632.0,1046.0,411.0,1197.0,487.0,357.0,290.0,9.0,25.0,7.0,62.0,31.0,1.64375,391.0,68.35625,3.29156010230179,41.58555133079848
Damir Hadzovic,50,0,1,280.0,138.0,214.0,81.0,1183.0,466.0,68.0,58.0,1.0,2.0,0.0,64.0,29.0,0.625,71.0,49.375,3.943661971830986,79.0
Damon Jackson,30,2,0,124.0,57.0,111.0,45.0,230.0,109.0,12.0,11.0,0.0,14.0,3.0,27.0,11.0,0.4875,26.0,29.5125,4.769230769230769,60.53846153846154
Dan Henderson,80,1,3,681.0,333.0,576.0,239.0,1940.0,769.0,144.0,125.0,0.0,17.0,0.0,23.0,10.0,0.22083333333333333,161.0,79.77916666666667,4.229813664596273,361.26415094339626
Dan Hooker,100,2,5,5179.0,2689.0,3933.0,1637.0,3897.0,1667.0,1108.0,863.0,8.0,27.0,10.0,138.0,59.0,7.291666666666667,1143.0,92.70833333333333,4.531058617672791,12.714285714285714
Dan Ige,35,1,1,384.0,164.0,355.0,143.0,318.0,160.0,64.0,44.0,6.0,25.0,9.0,10.0,5.0,1.0458333333333334,95.0,33.954166666666666,4.042105263157895,32.46613545816733
Dan Miller,15,0,0,0.0,0.0,0.0,0.0,196.0,104.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.625,1.0,14.375,0.0,23.0
Dan Moret,10,0,0,0.0,0.0,0.0,0.0,520.0,215.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,0.625,1.0,9.375,0.0,15.0
Daniel Cormier,140,3,3,6964.0,4360.0,4509.0,2194.0,2884.0,1580.0,2847.0,2358.0,38.0,180.0,71.0,77.0,29.0,41.85625,3065.0,98.14375,2.2721044045677,2.3447812453337313
Daniel Jolly,15,0,0,45.0,20.0,31.0,12.0,34.0,17.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,0.23333333333333334,16.0,14.766666666666667,2.8125,63.28571428571429
Daniel Kelly,110,1,1,5137.0,2442.0,4289.0,1712.0,2678.0,1176.0,1021.0,767.0,10.0,148.0,57.0,115.0,42.0,15.0,1179.0,95.0,4.357082273112807,6.333333333333333
Daniel Omielanczuk,105,1,1,2139.0,1644.0,1273.0,829.0,870.0,469.0,699.0,638.0,0.0,33.0,9.0,48.0,27.0,1.6333333333333333,732.0,103.36666666666666,2.9221311475409837,63.285714285714285
Daniel Pineda,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Daniel Sarafian,20,0,1,54.0,30.0,54.0,30.0,35.0,19.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0125,4.0,19.9875,13.5,1599.0
Daniel Spitz,30,0,1,326.0,153.0,278.0,107.0,770.0,412.0,10.0,8.0,0.0,5.0,3.0,29.0,12.0,0.24166666666666667,15.0,29.758333333333333,21.733333333333334,123.13793103448276
Daniel Spohn,20,1,0,80.0,52.0,51.0,24.0,0.0,0.0,21.0,20.0,2.0,1.0,0.0,0.0,0.0,0.225,24.0,19.775,3.3333333333333335,87.88888888888889
