Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Alessandro Ricci,20,0,0,118.0,83.0,60.0,28.0,745.0,311.0,5.0,4.0,0.0,2.0,0.0,8.0,3.0,0.625,7.0,19.375,16.857142857142858,31.0
Alessio Di Chirico,60,1,1,1279.0,662.0,1041.0,451.0,481.0,269.0,158.0,130.0,0.0,31.0,15.0,23.0,5.0,1.7416666666666667,189.0,58.25833333333333,6.767195767195767,33.44976076555024
Alex Caceres,155,2,1,6026.0,2661.0,5615.0,2311.0,1542.0,590.0,420.0,315.0,12.0,57.0,45.0,43.0,16.0,6.89375,489.0,148.10625,12.323108384458077,21.484134179510423
Alex Chambers,55,4,0,707.0,418.0,551.0,285.0,249.0,156.0,66.0,60.0,8.0,34.0,14.0,16.0,10.0,2.5729166666666665,108.0,52.427083333333336,6.546296296296297,20.376518218623485
Alex Garcia,105,1,1,2901.0,1205.0,2370.0,781.0,2467.0,1031.0,665.0,469.0,1.0,195.0,117.0,71.0,32.0,24.010416666666668,861.0,80.98958333333333,3.3693379790940767,3.373101952277657
Alex Morono,75,1,0,2244.0,1079.0,2027.0,877.0,1752.0,794.0,192.0,154.0,6.0,12.0,0.0,67.0,28.0,0.5375,210.0,74.4625,10.685714285714285,138.53488372093025
Alex Nicholson,35,1,1,401.0,170.0,397.0,166.0,613.0,321.0,8.0,8.0,0.0,0.0,0.0,10.0,4.0,0.31875,8.0,34.68125,50.125,108.80392156862746
Alex Oliveira,140,5,4,5620.0,3295.0,4012.0,1972.0,5212.0,2244.0,1414.0,1140.0,45.0,447.0,157.0,92.0,38.0,34.795833333333334,1906.0,105.20416666666667,2.948583420776495,3.0234702430846605
Alex Perez,35,2,1,370.0,196.0,279.0,116.0,432.0,201.0,105.0,88.0,9.0,17.0,9.0,28.0,13.0,3.4875,131.0,31.5125,2.8244274809160306,9.03584229390681
Alex Reyes,5,0,0,0.0,0.0,0.0,0.0,409.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Alex Torres,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
