Name,estimated_minutes,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Significant Strikes Landed per Minute,Str. Acc. - Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (% of Opponents Strikes Missed),Average Takedowns Landed per minute,TD Acc. - Takedown Accuracy,Takedown Defense (% of opponents TD attempts missed),Sub. Avg. - Average Submissions Attempted per minute
Reginaldo Vieira,40,266.0,138.0,152.0,61.0,4.0,6.0,3.0,5.0,2.0,3.45,0.518796992481203,1.525,2.275,3.8,0.5,0.6,0.1
Renan Barao,140,5411.0,1766.0,2939.0,1292.0,6.0,102.0,33.0,99.0,33.0,12.614285714285714,0.32637220476806506,9.228571428571428,11.764285714285714,20.992857142857144,0.3235294117647059,0.6666666666666666,0.04285714285714286
Renato Moicano,75,2129.0,960.0,3374.0,1519.0,5.0,29.0,15.0,56.0,15.0,12.8,0.45091592296852984,20.253333333333334,24.733333333333334,44.986666666666665,0.5172413793103449,0.7321428571428571,0.06666666666666667
Renee Forte,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reza Madadi,60,484.0,181.0,903.0,322.0,0.0,52.0,7.0,53.0,12.0,3.0166666666666666,0.3739669421487603,5.366666666666666,9.683333333333334,15.05,0.1346153846153846,0.7735849056603774,0.0
Ricardo Abreu,25,101.0,33.0,35.0,15.0,1.0,0.0,0.0,3.0,2.0,1.32,0.32673267326732675,0.6,0.8,1.4,0.0,0.3333333333333333,0.04
Ricardo Lamas,115,3679.0,1454.0,3731.0,1629.0,18.0,201.0,45.0,135.0,58.0,12.643478260869566,0.3952160913291655,14.165217391304347,18.278260869565216,32.44347826086957,0.22388059701492538,0.5703703703703704,0.1565217391304348
Ricardo Ramos,45,270.0,132.0,605.0,253.0,2.0,7.0,3.0,27.0,13.0,2.933333333333333,0.4888888888888889,5.622222222222222,7.822222222222222,13.444444444444445,0.42857142857142855,0.5185185185185185,0.044444444444444446
Richard Walsh,80,1560.0,853.0,519.0,242.0,0.0,48.0,26.0,11.0,2.0,10.6625,0.5467948717948717,3.025,3.4625,6.4875,0.5416666666666666,0.8181818181818182,0.0
Richardson Moreira,20,4.0,3.0,152.0,72.0,0.0,0.0,0.0,9.0,5.0,0.15,0.75,3.6,4.0,7.6,0.0,0.4444444444444444,0.0
Richie Smullen,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie Vaculik,45,242.0,128.0,779.0,273.0,5.0,32.0,10.0,27.0,6.0,2.8444444444444446,0.5289256198347108,6.066666666666666,11.244444444444444,17.31111111111111,0.3125,0.7777777777777778,0.1111111111111111
Rick Glenn,75,1526.0,686.0,2294.0,999.0,2.0,63.0,8.0,113.0,39.0,9.146666666666667,0.44954128440366975,13.32,17.266666666666666,30.586666666666666,0.12698412698412698,0.6548672566371682,0.02666666666666667
Rick Story,75,1510.0,646.0,1325.0,643.0,3.0,24.0,11.0,26.0,9.0,8.613333333333333,0.4278145695364238,8.573333333333334,9.093333333333334,17.666666666666668,0.4583333333333333,0.6538461538461539,0.04
Ricky Palacios,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Rainey,10,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,2.7,0.0,0.0,0.0
Ricky Simon,45,303.0,130.0,118.0,47.0,1.0,45.0,30.0,23.0,11.0,2.888888888888889,0.429042904290429,1.0444444444444445,1.5777777777777777,2.6222222222222222,0.6666666666666666,0.5217391304347826,0.022222222222222223
Ricky Turcios,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rilley Dutro,15,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.26666666666666666,0.7333333333333333,0.0,0.0,0.0
Rin Nakai,30,47.0,16.0,457.0,170.0,0.0,19.0,3.0,12.0,1.0,0.5333333333333333,0.3404255319148936,5.666666666666667,9.566666666666666,15.233333333333333,0.15789473684210525,0.9166666666666666,0.0
Roan Carneiro,40,105.0,36.0,916.0,429.0,3.0,6.0,2.0,50.0,17.0,0.9,0.34285714285714286,10.725,12.175,22.9,0.3333333333333333,0.66,0.075
Rob Font,75,2223.0,1011.0,3176.0,1323.0,13.0,66.0,17.0,46.0,16.0,13.48,0.45479082321187586,17.64,24.706666666666667,42.346666666666664,0.25757575757575757,0.6521739130434783,0.17333333333333334
Rob Whiteford,50,287.0,141.0,640.0,193.0,0.0,45.0,16.0,32.0,2.0,2.82,0.4912891986062718,3.86,8.94,12.8,0.35555555555555557,0.9375,0.0
Rob Wilkinson,20,46.0,24.0,138.0,84.0,0.0,5.0,2.0,3.0,3.0,1.2,0.5217391304347826,4.2,2.7,6.9,0.4,0.0,0.0
Robbie Lawler,185,7261.0,3375.0,3547.0,1645.0,0.0,20.0,12.0,79.0,35.0,18.243243243243242,0.46481200936510125,8.891891891891891,10.281081081081082,19.17297297297297,0.6,0.5569620253164557,0.0
Robert Drysdale,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Peralta,35,254.0,102.0,155.0,78.0,0.0,2.0,2.0,13.0,3.0,2.914285714285714,0.4015748031496063,2.2285714285714286,2.2,4.428571428571429,1.0,0.7692307692307693,0.0
Robert Whittaker,130,4909.0,2076.0,3017.0,1494.0,0.0,32.0,20.0,194.0,74.0,15.96923076923077,0.4228967203096354,11.492307692307692,11.715384615384615,23.20769230769231,0.625,0.6185567010309279,0.0
Roberto Sanchez,25,15.0,6.0,777.0,286.0,1.0,5.0,5.0,30.0,19.0,0.24,0.4,11.44,19.64,31.08,1.0,0.36666666666666664,0.04
Rocky Lee,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodolfo Rubio,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Damm,60,895.0,335.0,241.0,118.0,3.0,16.0,3.0,3.0,1.0,5.583333333333333,0.3743016759776536,1.9666666666666666,2.05,4.016666666666667,0.1875,0.6666666666666666,0.05
Rodrigo de Lima,25,14.0,5.0,396.0,143.0,2.0,3.0,1.0,16.0,5.0,0.2,0.35714285714285715,5.72,10.12,15.84,0.3333333333333333,0.6875,0.08
Roger Narvaez,35,154.0,54.0,535.0,213.0,2.0,2.0,0.0,14.0,6.0,1.542857142857143,0.35064935064935066,6.085714285714285,9.2,15.285714285714286,0.0,0.5714285714285714,0.05714285714285714
Roger Zapata,15,0.0,0.0,46.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.066666666666667,1.0,3.066666666666667,0.0,0.0,0.0
Rogerio Nogueira,50,634.0,252.0,2178.0,1001.0,3.0,0.0,0.0,112.0,50.0,5.04,0.39747634069400634,20.02,23.54,43.56,0.0,0.5535714285714286,0.06
Roland Delorme,20,20.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0
Rolando Dy,50,464.0,182.0,1303.0,559.0,0.0,13.0,3.0,17.0,9.0,3.64,0.3922413793103448,11.18,14.88,26.06,0.23076923076923078,0.47058823529411764,0.0
Roldan Sangcha-an,25,81.0,36.0,54.0,22.0,0.0,2.0,1.0,1.0,1.0,1.44,0.4444444444444444,0.88,1.28,2.16,0.5,0.0,0.0
Roman Salazar,25,61.0,22.0,154.0,72.0,0.0,6.0,1.0,4.0,3.0,0.88,0.36065573770491804,2.88,3.28,6.16,0.16666666666666666,0.25,0.0
Ron Stallings,30,120.0,70.0,220.0,93.0,0.0,0.0,0.0,5.0,4.0,2.3333333333333335,0.5833333333333334,3.1,4.233333333333333,7.333333333333333,0.0,0.2,0.0
Ronaldo Candido De Oliveira,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronda Rousey,35,308.0,181.0,1111.0,526.0,3.0,5.0,4.0,15.0,9.0,5.171428571428572,0.5876623376623377,15.028571428571428,16.714285714285715,31.742857142857144,0.8,0.4,0.08571428571428572
Ronny Markes,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rony Jason,55,306.0,121.0,552.0,253.0,5.0,18.0,6.0,53.0,18.0,2.2,0.3954248366013072,4.6,5.4363636363636365,10.036363636363637,0.3333333333333333,0.660377358490566,0.09090909090909091
Rory MacDonald,95,1746.0,627.0,1413.0,694.0,0.0,16.0,5.0,12.0,7.0,6.6,0.359106529209622,7.3052631578947365,7.568421052631579,14.873684210526315,0.3125,0.4166666666666667,0.0
Rose Namajunas,115,2439.0,1062.0,5675.0,2935.0,28.0,113.0,69.0,47.0,19.0,9.234782608695653,0.4354243542435424,25.52173913043478,23.82608695652174,49.34782608695652,0.6106194690265486,0.5957446808510638,0.24347826086956523
Ross Pearson,190,8116.0,3319.0,5012.0,2215.0,0.0,70.0,43.0,64.0,28.0,17.46842105263158,0.40894529324790535,11.657894736842104,14.721052631578948,26.378947368421052,0.6142857142857143,0.5625,0.0
Roxanne Modafferi,35,403.0,132.0,236.0,71.0,1.0,9.0,2.0,0.0,0.0,3.7714285714285714,0.32754342431761785,2.0285714285714285,4.714285714285714,6.742857142857143,0.2222222222222222,0.0,0.02857142857142857
Roy Nelson,110,1913.0,778.0,790.0,489.0,0.0,120.0,36.0,42.0,17.0,7.072727272727272,0.4066910611604809,4.445454545454545,2.7363636363636363,7.181818181818182,0.3,0.5952380952380952,0.0
Royston Wee,40,53.0,34.0,91.0,31.0,0.0,18.0,15.0,3.0,2.0,0.85,0.6415094339622641,0.775,1.5,2.275,0.8333333333333334,0.3333333333333333,0.0
Ruan Potts,20,35.0,10.0,58.0,35.0,4.0,3.0,0.0,4.0,2.0,0.5,0.2857142857142857,1.75,1.15,2.9,0.0,0.5,0.2
Ruon Potts,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruslan Magomedov,45,379.0,157.0,168.0,82.0,0.0,1.0,1.0,10.0,6.0,3.488888888888889,0.41424802110817943,1.8222222222222222,1.9111111111111112,3.7333333333333334,1.0,0.4,0.0
Russell Doane,85,1542.0,650.0,1178.0,480.0,19.0,122.0,52.0,74.0,30.0,7.647058823529412,0.42153047989623865,5.647058823529412,8.211764705882352,13.858823529411765,0.4262295081967213,0.5945945945945946,0.2235294117647059
Rustam Khabilov,125,2378.0,929.0,1932.0,839.0,0.0,240.0,106.0,132.0,53.0,7.432,0.3906644238856182,6.712,8.744,15.456,0.44166666666666665,0.5984848484848485,0.0
Ryan Bader,100,1825.0,711.0,958.0,383.0,5.0,234.0,94.0,51.0,20.0,7.11,0.38958904109589043,3.83,5.75,9.58,0.4017094017094017,0.6078431372549019,0.05
Ryan Benoit,60,587.0,200.0,735.0,251.0,0.0,10.0,4.0,18.0,6.0,3.3333333333333335,0.34071550255536626,4.183333333333334,8.066666666666666,12.25,0.4,0.6666666666666666,0.0
Ryan Hall,30,41.0,23.0,173.0,66.0,1.0,3.0,1.0,28.0,7.0,0.7666666666666667,0.5609756097560976,2.2,3.566666666666667,5.766666666666667,0.3333333333333333,0.75,0.03333333333333333
Ryan Janes,50,847.0,335.0,522.0,230.0,0.0,2.0,2.0,24.0,10.0,6.7,0.3955135773317591,4.6,5.84,10.44,1.0,0.5833333333333334,0.0
Ryan Jimmo,30,93.0,55.0,68.0,37.0,0.0,3.0,2.0,9.0,4.0,1.8333333333333333,0.5913978494623656,1.2333333333333334,1.0333333333333334,2.2666666666666666,0.6666666666666666,0.5555555555555556,0.0
Ryan LaFlare,110,2142.0,890.0,1994.0,802.0,0.0,72.0,28.0,164.0,58.0,8.090909090909092,0.415499533146592,7.290909090909091,10.836363636363636,18.12727272727273,0.3888888888888889,0.6463414634146342,0.0
Ryan Spann,20,2.0,1.0,244.0,102.0,0.0,0.0,0.0,30.0,11.0,0.05,0.5,5.1,7.1,12.2,0.0,0.6333333333333333,0.0
Sabah Homasi,20,220.0,105.0,929.0,419.0,0.0,6.0,4.0,17.0,8.0,5.25,0.4772727272727273,20.95,25.5,46.45,0.6666666666666666,0.5294117647058824,0.0
Sage Northcutt,90,1289.0,709.0,1457.0,577.0,10.0,74.0,31.0,37.0,12.0,7.877777777777778,0.5500387897595035,6.411111111111111,9.777777777777779,16.18888888888889,0.4189189189189189,0.6756756756756757,0.1111111111111111
Sai Wang,30,79.0,31.0,34.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0333333333333334,0.3924050632911392,0.6,0.5333333333333333,1.1333333333333333,0.0,1.0,0.0
Said Nurmagomedov,15,0.0,0.0,570.0,300.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,20.0,18.0,38.0,0.0,0.34375,0.0
Salim Touahri,15,0.0,0.0,396.0,189.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,12.6,13.8,26.4,0.0,0.4444444444444444,0.0
Sam Alvey,170,7109.0,3402.0,3751.0,1570.0,9.0,22.0,2.0,133.0,39.0,20.011764705882353,0.4785483190322127,9.235294117647058,12.829411764705883,22.064705882352943,0.09090909090909091,0.706766917293233,0.052941176470588235
Sam Sicilia,85,1590.0,611.0,528.0,243.0,18.0,71.0,36.0,18.0,9.0,7.188235294117647,0.38427672955974845,2.8588235294117648,3.3529411764705883,6.211764705882353,0.5070422535211268,0.5,0.21176470588235294
Sam Stout,20,127.0,33.0,276.0,113.0,0.0,1.0,0.0,6.0,2.0,1.65,0.25984251968503935,5.65,8.15,13.8,0.0,0.6666666666666666,0.0
Santiago Ponzinibbio,90,3357.0,1307.0,1980.0,920.0,0.0,39.0,7.0,53.0,28.0,14.522222222222222,0.3893357164134644,10.222222222222221,11.777777777777779,22.0,0.1794871794871795,0.4716981132075472,0.0
Saparbeg Safarov,15,131.0,37.0,686.0,327.0,0.0,2.0,0.0,17.0,6.0,2.466666666666667,0.2824427480916031,21.8,23.933333333333334,45.733333333333334,0.0,0.6470588235294118,0.0
Sara McMann,90,1828.0,757.0,2077.0,855.0,9.0,120.0,60.0,33.0,14.0,8.411111111111111,0.4141137855579869,9.5,13.577777777777778,23.07777777777778,0.5,0.5757575757575758,0.1
Sarah Kaufman,40,870.0,469.0,119.0,55.0,0.0,2.0,2.0,3.0,2.0,11.725,0.539080459770115,1.375,1.6,2.975,1.0,0.3333333333333333,0.0
Sarah Moras,50,220.0,84.0,1103.0,450.0,3.0,23.0,3.0,25.0,8.0,1.68,0.38181818181818183,9.0,13.06,22.06,0.13043478260869565,0.68,0.06
Scott Askham,70,542.0,341.0,607.0,285.0,2.0,19.0,2.0,27.0,8.0,4.871428571428571,0.6291512915129152,4.071428571428571,4.6,8.67142857142857,0.10526315789473684,0.7037037037037037,0.02857142857142857
Scott Holtzman,105,2568.0,1280.0,944.0,347.0,10.0,86.0,48.0,73.0,28.0,12.19047619047619,0.4984423676012461,3.3047619047619046,5.685714285714286,8.99047619047619,0.5581395348837209,0.6164383561643836,0.09523809523809523
Scott Jorgensen,50,499.0,192.0,473.0,155.0,0.0,47.0,31.0,46.0,21.0,3.84,0.3847695390781563,3.1,6.36,9.46,0.6595744680851063,0.5434782608695652,0.0
Sean O'Connell,70,2141.0,1045.0,1158.0,510.0,10.0,37.0,0.0,66.0,30.0,14.928571428571429,0.4880896777206913,7.285714285714286,9.257142857142858,16.542857142857144,0.0,0.5454545454545454,0.14285714285714285
Sean O'Malley,35,342.0,195.0,424.0,169.0,0.0,6.0,3.0,2.0,0.0,5.571428571428571,0.5701754385964912,4.828571428571428,7.285714285714286,12.114285714285714,0.5,1.0,0.0
Sean Soriano,40,100.0,62.0,187.0,43.0,0.0,0.0,0.0,9.0,3.0,1.55,0.62,1.075,3.6,4.675,0.0,0.6666666666666666,0.0
Sean Spencer,70,1635.0,575.0,980.0,385.0,0.0,6.0,3.0,34.0,9.0,8.214285714285714,0.3516819571865443,5.5,8.5,14.0,0.5,0.7352941176470589,0.0
Sean Strickland,115,5027.0,1802.0,2132.0,913.0,19.0,93.0,49.0,120.0,45.0,15.669565217391304,0.3584642928187786,7.939130434782609,10.6,18.53913043478261,0.5268817204301075,0.625,0.16521739130434782
Seohee Ham,60,928.0,408.0,352.0,164.0,1.0,15.0,0.0,3.0,1.0,6.8,0.4396551724137931,2.7333333333333334,3.1333333333333333,5.866666666666666,0.0,0.6666666666666666,0.016666666666666666
Sergio Moraes,105,2147.0,993.0,2621.0,1177.0,5.0,66.0,18.0,69.0,34.0,9.457142857142857,0.46250582207731716,11.209523809523809,13.752380952380953,24.961904761904762,0.2727272727272727,0.5072463768115942,0.047619047619047616
Sergio Pettis,170,8516.0,2944.0,3490.0,1445.0,16.0,136.0,53.0,131.0,49.0,17.31764705882353,0.3457022076092062,8.5,12.029411764705882,20.529411764705884,0.3897058823529412,0.6259541984732825,0.09411764705882353
Seth Baczynski,25,735.0,205.0,61.0,33.0,0.0,18.0,1.0,0.0,0.0,8.2,0.2789115646258503,1.32,1.12,2.44,0.05555555555555555,0.0,0.0
Shamil Abdurakhimov,75,1009.0,470.0,2182.0,1091.0,2.0,59.0,11.0,37.0,16.0,6.266666666666667,0.4658077304261645,14.546666666666667,14.546666666666667,29.093333333333334,0.1864406779661017,0.5675675675675675,0.02666666666666667
Shana Dobson,25,95.0,34.0,163.0,85.0,0.0,0.0,0.0,2.0,0.0,1.36,0.35789473684210527,3.4,3.12,6.52,0.0,1.0,0.0
Shane Burgos,60,1098.0,475.0,1085.0,444.0,0.0,4.0,4.0,47.0,17.0,7.916666666666667,0.4326047358834244,7.4,10.683333333333334,18.083333333333332,1.0,0.6382978723404256,0.0
Shane Campbell,50,719.0,412.0,1020.0,465.0,0.0,36.0,10.0,21.0,6.0,8.24,0.5730180806675939,9.3,11.1,20.4,0.2777777777777778,0.7142857142857143,0.0
Shane Howell,20,3.0,0.0,101.0,48.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,2.4,2.65,5.05,0.0,0.4666666666666667,0.0
Shane Young,25,81.0,18.0,464.0,231.0,0.0,1.0,1.0,15.0,8.0,0.72,0.2222222222222222,9.24,9.32,18.56,1.0,0.4666666666666667,0.0
Shawn Jordan,50,445.0,203.0,394.0,197.0,0.0,24.0,12.0,9.0,4.0,4.06,0.45617977528089887,3.94,3.94,7.88,0.5,0.5555555555555556,0.0
Shayna Baszler,15,30.0,8.0,247.0,136.0,1.0,4.0,1.0,2.0,1.0,0.5333333333333333,0.26666666666666666,9.066666666666666,7.4,16.466666666666665,0.25,0.5,0.06666666666666667
Sheldon Westcott,30,107.0,43.0,102.0,33.0,0.0,19.0,7.0,2.0,2.0,1.4333333333333333,0.40186915887850466,1.1,2.3,3.4,0.3684210526315789,0.0,0.0
Shelton Graves,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheymon Moraes,30,31.0,18.0,65.0,45.0,0.0,0.0,0.0,3.0,1.0,0.6,0.5806451612903226,1.5,0.6666666666666666,2.1666666666666665,0.0,0.6666666666666666,0.0
Shinsho Anzai,40,305.0,190.0,707.0,338.0,0.0,37.0,8.0,40.0,16.0,4.75,0.6229508196721312,8.45,9.225,17.675,0.21621621621621623,0.6,0.0
Shunichi Shimizu,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidney Outlaw,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sijara Eubanks,15,0.0,0.0,696.0,286.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,19.066666666666666,27.333333333333332,46.4,0.0,0.6666666666666666,0.0
Sirwan Kakai,30,146.0,52.0,353.0,124.0,0.0,10.0,5.0,20.0,8.0,1.7333333333333334,0.3561643835616438,4.133333333333334,7.633333333333334,11.766666666666667,0.5,0.6,0.0
Siyar Bahadurzada,35,357.0,211.0,530.0,234.0,3.0,6.0,6.0,10.0,3.0,6.0285714285714285,0.5910364145658263,6.685714285714286,8.457142857142857,15.142857142857142,1.0,0.7,0.08571428571428572
Soa Palelei,40,122.0,61.0,72.0,42.0,0.0,18.0,4.0,5.0,3.0,1.525,0.5,1.05,0.75,1.8,0.2222222222222222,0.4,0.0
Song Kenan,15,14.0,14.0,169.0,64.0,0.0,0.0,0.0,9.0,3.0,0.9333333333333333,1.0,4.266666666666667,7.0,11.266666666666667,0.0,0.6666666666666666,0.0
Song Yadong,15,29.0,8.0,377.0,152.0,1.0,0.0,0.0,10.0,4.0,0.5333333333333333,0.27586206896551724,10.133333333333333,15.0,25.133333333333333,0.0,0.6,0.06666666666666667
Stanislav Nedkov,5,0.0,0.0,90.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,7.2,18.0,0.0,0.0,0.0
Stefan Sekulic,15,0.0,0.0,155.0,77.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,5.133333333333334,5.2,10.333333333333334,0.0,0.7333333333333333,0.0
Stefan Struve,95,1792.0,932.0,2186.0,1221.0,3.0,20.0,11.0,47.0,18.0,9.810526315789474,0.5200892857142857,12.852631578947369,10.157894736842104,23.010526315789473,0.55,0.6170212765957447,0.031578947368421054
Stephen Thompson,145,3985.0,1737.0,3873.0,1727.0,0.0,21.0,6.0,96.0,42.0,11.979310344827587,0.43588456712672524,11.910344827586206,14.8,26.71034482758621,0.2857142857142857,0.5625,0.0
Steve Bosse,25,14.0,5.0,628.0,288.0,0.0,0.0,0.0,10.0,0.0,0.2,0.35714285714285715,11.52,13.6,25.12,0.0,1.0,0.0
Steve Kennedy,20,12.0,3.0,348.0,187.0,0.0,1.0,0.0,14.0,8.0,0.15,0.25,9.35,8.05,17.4,0.0,0.42857142857142855,0.0
Steve Montgomery,20,28.0,9.0,246.0,88.0,0.0,0.0,0.0,2.0,1.0,0.45,0.32142857142857145,4.4,7.9,12.3,0.0,0.5,0.0
Steven Peterson,45,698.0,237.0,771.0,242.0,0.0,34.0,5.0,2.0,2.0,5.266666666666667,0.33954154727793695,5.377777777777778,11.755555555555556,17.133333333333333,0.14705882352941177,0.0,0.0
Steven Siler,20,22.0,11.0,22.0,11.0,0.0,0.0,0.0,2.0,0.0,0.55,0.5,0.55,0.55,1.1,0.0,1.0,0.0
Stevie Ray,95,2078.0,949.0,3196.0,1338.0,20.0,15.0,8.0,88.0,35.0,9.989473684210527,0.4566891241578441,14.08421052631579,19.557894736842105,33.642105263157895,0.5333333333333333,0.6022727272727273,0.21052631578947367
Stipe Miocic,120,4812.0,2291.0,2960.0,1577.0,0.0,200.0,61.0,57.0,21.0,19.091666666666665,0.4761014131338321,13.141666666666667,11.525,24.666666666666668,0.305,0.631578947368421,0.0
Sultan Aliev,30,54.0,31.0,807.0,368.0,0.0,3.0,2.0,34.0,13.0,1.0333333333333334,0.5740740740740741,12.266666666666667,14.633333333333333,26.9,0.6666666666666666,0.6176470588235294,0.0
Syuri Kondo,20,284.0,135.0,355.0,159.0,0.0,0.0,0.0,1.0,1.0,6.75,0.4753521126760563,7.95,9.8,17.75,0.0,0.0,0.0
T.J. Dillashaw,25,541.0,257.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,10.28,0.47504621072088726,0.0,0.0,0.0,0.25,0.0,0.08
TJ Dillashaw,130,9798.0,3940.0,3258.0,1251.0,14.0,156.0,43.0,47.0,22.0,30.307692307692307,0.4021228822208614,9.623076923076923,15.438461538461539,25.06153846153846,0.27564102564102566,0.5319148936170213,0.1076923076923077
TJ Waldburger,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tae Hyun Bang,65,762.0,284.0,616.0,258.0,2.0,10.0,3.0,15.0,6.0,4.369230769230769,0.37270341207349084,3.9692307692307693,5.507692307692308,9.476923076923077,0.3,0.6,0.03076923076923077
Tai Tuivasa,25,123.0,82.0,928.0,435.0,0.0,4.0,0.0,23.0,10.0,3.28,0.6666666666666666,17.4,19.72,37.12,0.0,0.5652173913043478,0.0
Takanori Gomi,40,1298.0,602.0,1388.0,582.0,0.0,0.0,0.0,40.0,18.0,15.05,0.4637904468412943,14.55,20.15,34.7,0.0,0.55,0.0
Takenori Sato,10,0.0,0.0,277.0,122.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.2,15.5,27.7,0.0,0.0,0.0
Takeya Mizugaki,60,1170.0,366.0,1217.0,470.0,0.0,20.0,0.0,23.0,13.0,6.1,0.3128205128205128,7.833333333333333,12.45,20.283333333333335,0.0,0.43478260869565216,0.0
Talita Bernardo,30,88.0,22.0,1199.0,485.0,1.0,7.0,3.0,3.0,3.0,0.7333333333333333,0.25,16.166666666666668,23.8,39.96666666666667,0.42857142857142855,0.0,0.03333333333333333
Tamdan McCrory,30,112.0,80.0,532.0,245.0,2.0,8.0,4.0,22.0,6.0,2.6666666666666665,0.7142857142857143,8.166666666666666,9.566666666666666,17.733333333333334,0.5,0.7272727272727273,0.06666666666666667
Tarec Saffiedine,100,2194.0,1046.0,2001.0,885.0,5.0,26.0,7.0,47.0,24.0,10.46,0.47675478577939834,8.85,11.16,20.01,0.2692307692307692,0.48936170212765956,0.05
Tateki Matsuda,30,111.0,41.0,142.0,45.0,0.0,1.0,0.0,0.0,0.0,1.3666666666666667,0.36936936936936937,1.5,3.2333333333333334,4.733333333333333,0.0,0.0,0.0
Tatiana Suarez,40,278.0,192.0,1424.0,551.0,4.0,22.0,19.0,71.0,27.0,4.8,0.6906474820143885,13.775,21.825,35.6,0.8636363636363636,0.6197183098591549,0.1
Tatsuya Kawajiri,85,603.0,370.0,1149.0,485.0,9.0,145.0,44.0,40.0,12.0,4.352941176470588,0.6135986733001658,5.705882352941177,7.811764705882353,13.51764705882353,0.30344827586206896,0.7,0.10588235294117647
Taylor Lapilus,55,627.0,322.0,354.0,135.0,4.0,12.0,6.0,36.0,9.0,5.8545454545454545,0.5135566188197768,2.4545454545454546,3.981818181818182,6.4363636363636365,0.5,0.75,0.07272727272727272
Tecia Torres,130,4852.0,2387.0,5097.0,2563.0,3.0,156.0,30.0,101.0,48.0,18.361538461538462,0.491962077493817,19.715384615384615,19.49230769230769,39.207692307692305,0.19230769230769232,0.5247524752475248,0.023076923076923078
Teemu Packalen,25,133.0,76.0,261.0,104.0,3.0,22.0,6.0,14.0,7.0,3.04,0.5714285714285714,4.16,6.28,10.44,0.2727272727272727,0.5,0.12
Terrion Ware,60,1299.0,441.0,520.0,204.0,0.0,13.0,2.0,46.0,18.0,7.35,0.3394919168591224,3.4,5.266666666666667,8.666666666666666,0.15384615384615385,0.6086956521739131,0.0
