Name,estimated_minutes,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Significant Strikes Landed per Minute,Str. Acc. - Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (% of Opponents Strikes Missed),Average Takedowns Landed per minute,TD Acc. - Takedown Accuracy,Takedown Defense (% of opponents TD attempts missed),Sub. Avg. - Average Submissions Attempted per minute
Nicco Montano,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Catone,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Diaz,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Hein,95,2053.0,820.0,881.0,338.0,0.0,63.0,20.0,16.0,7.0,8.631578947368421,0.3994154895275207,3.557894736842105,5.71578947368421,9.273684210526316,0.31746031746031744,0.5625,0.0
Nick Roehrick,15,0.0,0.0,194.0,117.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.8,5.133333333333334,12.933333333333334,0.0,1.0,0.0
Nick Urso,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Musoke,75,1298.0,493.0,529.0,207.0,0.0,56.0,14.0,13.0,5.0,6.573333333333333,0.3798151001540832,2.76,4.293333333333333,7.053333333333334,0.25,0.6153846153846154,0.0
Nicolas Dalby,60,907.0,348.0,349.0,140.0,0.0,39.0,22.0,12.0,8.0,5.8,0.3836824696802646,2.3333333333333335,3.4833333333333334,5.816666666666666,0.5641025641025641,0.3333333333333333,0.0
Nik Lentz,105,2380.0,1201.0,1376.0,633.0,25.0,241.0,75.0,112.0,44.0,11.438095238095238,0.5046218487394958,6.0285714285714285,7.076190476190476,13.104761904761904,0.3112033195020747,0.6071428571428571,0.23809523809523808
Nikita Krylov,60,1301.0,806.0,1521.0,798.0,12.0,12.0,1.0,72.0,24.0,13.433333333333334,0.6195234435049961,13.3,12.05,25.35,0.08333333333333333,0.6666666666666666,0.2
Niklas Backstrom,25,36.0,17.0,122.0,50.0,4.0,0.0,0.0,13.0,4.0,0.68,0.4722222222222222,2.0,2.88,4.88,0.0,0.6923076923076923,0.16
Niko Price,55,1187.0,326.0,2673.0,1244.0,18.0,44.0,11.0,62.0,22.0,5.927272727272728,0.2746419545071609,22.618181818181817,25.98181818181818,48.6,0.25,0.6451612903225806,0.32727272727272727
Nina Ansaroff,75,1215.0,607.0,1810.0,774.0,12.0,13.0,5.0,61.0,15.0,8.093333333333334,0.49958847736625517,10.32,13.813333333333333,24.133333333333333,0.38461538461538464,0.7540983606557377,0.16
Ning Guangyou,55,518.0,208.0,273.0,130.0,3.0,15.0,10.0,22.0,12.0,3.7818181818181817,0.4015444015444015,2.3636363636363638,2.6,4.963636363636364,0.6666666666666666,0.45454545454545453,0.05454545454545454
