Name,estimated_minutes,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Carlo Pedersoli,20,181.0,68.0,179.0,67.0,1069.0,533.0,4.0,2.0,0.0,4.0,3.0,72.0,27.0,0.2222222222222222,8.0,19.77777777777778,22.625,3.9555555555555557
Carlos Condit,75,2863.0,1285.0,2472.0,932.0,3670.0,1822.0,396.0,346.0,5.0,12.0,8.0,194.0,70.0,0.3377777777777778,413.0,74.66222222222223,6.932203389830509,14.932444444444446
Carls John De Tomas,25,102.0,53.0,74.0,30.0,39.0,13.0,33.0,25.0,0.0,4.0,2.0,0.0,0.0,0.09222222222222222,37.0,24.907777777777778,2.7567567567567566,4.9815555555555555
Casey Kenney,30,159.0,72.0,143.0,59.0,0.0,0.0,12.0,7.0,1.0,8.0,3.0,0.0,0.0,0.54,21.0,29.46,7.571428571428571,5.892
Cat Zingano,65,669.0,495.0,395.0,241.0,1379.0,573.0,450.0,370.0,12.0,22.0,18.0,22.0,13.0,4.708888888888889,484.0,60.291111111111114,1.3822314049586777,12.058222222222224
Cathal Pendred,75,1274.0,641.0,1117.0,501.0,685.0,322.0,90.0,71.0,6.0,153.0,39.0,25.0,7.0,1.961111111111111,249.0,73.03888888888889,5.116465863453815,14.607777777777779
Cesar Arzamendia,10,54.0,23.0,46.0,16.0,25.0,15.0,6.0,3.0,0.0,4.0,3.0,3.0,1.0,0.0,10.0,10.0,5.4,2.0
Cezar Ferreira,105,2408.0,1358.0,1661.0,669.0,1962.0,959.0,937.0,802.0,7.0,118.0,72.0,69.0,24.0,15.915555555555555,1062.0,89.08444444444444,2.2674199623352167,5.597319184585311
Chad Laprise,95,4663.0,2081.0,4448.0,1892.0,1776.0,759.0,274.0,232.0,0.0,58.0,31.0,31.0,15.0,5.557777777777778,332.0,89.44222222222223,14.045180722891565,16.093162734906038
Chad Mendes,50,1046.0,513.0,985.0,456.0,1548.0,660.0,123.0,108.0,0.0,46.0,12.0,64.0,28.0,1.9355555555555555,169.0,48.06444444444445,6.189349112426036,9.61288888888889
Chanmi Jeon,30,252.0,93.0,250.0,92.0,81.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,2.0,29.997777777777777,126.0,5.999555555555555
Charles Byrd,20,99.0,70.0,62.0,37.0,251.0,111.0,58.0,52.0,3.0,3.0,3.0,14.0,6.0,0.6466666666666666,64.0,19.35333333333333,1.546875,3.8706666666666663
Charles Oliveira,120,4127.0,2887.0,2885.0,1749.0,4353.0,1856.0,1759.0,1508.0,107.0,305.0,133.0,139.0,41.0,7.7988888888888885,2171.0,112.20111111111112,1.900967296176877,14.386807237498221
Charles Rosa,75,1176.0,456.0,1060.0,369.0,346.0,150.0,186.0,124.0,16.0,76.0,34.0,7.0,3.0,4.997777777777777,278.0,70.00222222222223,4.23021582733813,14.000444444444446
Charlie Brenneman,20,63.0,43.0,43.0,23.0,40.0,26.0,22.0,21.0,0.0,7.0,2.0,8.0,4.0,0.12777777777777777,29.0,19.872222222222224,2.1724137931034484,3.974444444444445
Charlie Ward,10,15.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,2.0
Chas Skelly,100,2239.0,1090.0,1655.0,586.0,2065.0,844.0,625.0,562.0,66.0,124.0,41.0,93.0,28.0,11.008888888888889,815.0,88.99111111111111,2.747239263803681,8.083568833266048
Chase Sherman,85,3150.0,1346.0,3082.0,1278.0,668.0,296.0,141.0,109.0,0.0,0.0,0.0,27.0,8.0,0.3022222222222222,141.0,84.69777777777777,22.340425531914892,16.939555555555554
Chico Camus,75,990.0,522.0,759.0,313.0,865.0,364.0,243.0,212.0,4.0,17.0,10.0,36.0,14.0,0.013333333333333334,264.0,74.98666666666666,3.75,14.997333333333334
Chris Avila,30,150.0,63.0,128.0,42.0,355.0,118.0,3.0,2.0,0.0,1.0,0.0,18.0,6.0,0.0,4.0,30.0,37.5,6.0
Chris Beal,70,1125.0,503.0,976.0,360.0,676.0,295.0,309.0,229.0,3.0,24.0,15.0,17.0,5.0,2.9355555555555557,336.0,67.06444444444445,3.3482142857142856,13.41288888888889
Chris Camozzi,115,3421.0,2100.0,2754.0,1527.0,2268.0,1028.0,555.0,464.0,18.0,38.0,18.0,88.0,29.0,4.113333333333333,611.0,110.88666666666667,5.599018003273322,22.177333333333333
Chris Cariaso,70,1473.0,665.0,1309.0,518.0,1243.0,517.0,128.0,96.0,12.0,8.0,6.0,13.0,2.0,0.68,148.0,69.32,9.952702702702704,13.863999999999999
Chris Clements,20,28.0,26.0,27.0,25.0,252.0,133.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0022222222222222222,0.0,19.997777777777777,28.0,3.9995555555555553
Chris Dempsey,30,344.0,134.0,295.0,91.0,157.0,95.0,32.0,28.0,0.0,25.0,6.0,6.0,3.0,0.15555555555555556,57.0,29.844444444444445,6.035087719298246,5.968888888888889
Chris Gruetzemacher,50,927.0,592.0,729.0,411.0,993.0,399.0,144.0,121.0,0.0,0.0,0.0,47.0,19.0,0.06444444444444444,144.0,49.93555555555555,6.4375,9.98711111111111
Chris Heatherly,10,9.0,7.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.14888888888888888,6.0,9.851111111111111,1.5,1.970222222222222
Chris Indich,20,65.0,27.0,49.0,12.0,32.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,20.0,21.666666666666668,4.0
Chris Kelades,60,621.0,410.0,388.0,208.0,1133.0,390.0,343.0,266.0,3.0,26.0,7.0,28.0,16.0,2.486666666666667,372.0,57.513333333333335,1.6693548387096775,11.502666666666666
Chris Wade,85,1558.0,1161.0,731.0,433.0,536.0,224.0,682.0,553.0,11.0,85.0,48.0,52.0,23.0,8.796666666666667,778.0,76.20333333333333,2.0025706940874035,8.662751042061387
Chris Weidman,90,1740.0,886.0,1509.0,690.0,2431.0,1156.0,436.0,344.0,1.0,113.0,44.0,52.0,28.0,4.2877777777777775,550.0,85.71222222222222,3.1636363636363636,17.142444444444443
Chris de la Rocha,25,126.0,45.0,122.0,41.0,161.0,92.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,7.0,25.0,18.0,5.0
Christian Colombo,35,447.0,264.0,332.0,155.0,141.0,63.0,30.0,28.0,0.0,2.0,0.0,13.0,2.0,0.0,32.0,35.0,13.96875,7.0
Christos Giagos,35,251.0,133.0,191.0,76.0,685.0,373.0,111.0,80.0,2.0,6.0,2.0,57.0,27.0,0.8877777777777778,119.0,34.11222222222222,2.1092436974789917,6.822444444444445
Claudia Gadelha,120,4727.0,2479.0,3795.0,1619.0,4121.0,1786.0,1084.0,921.0,27.0,239.0,133.0,102.0,42.0,14.508888888888889,1350.0,105.49111111111111,3.5014814814814814,7.270791851738398
Claudio Puelles,25,68.0,29.0,68.0,29.0,32.0,11.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.03111111111111111,6.0,24.968888888888888,11.333333333333334,4.993777777777778
Claudio Silva,35,478.0,326.0,227.0,106.0,552.0,303.0,275.0,229.0,1.0,39.0,9.0,19.0,15.0,2.061111111111111,315.0,32.93888888888889,1.5174603174603174,6.587777777777778
Clay Collard,60,1213.0,397.0,1171.0,364.0,675.0,285.0,79.0,47.0,4.0,51.0,15.0,5.0,2.0,1.2755555555555556,134.0,58.724444444444444,9.052238805970148,11.74488888888889
Clay Guida,85,2919.0,1617.0,2104.0,930.0,1676.0,786.0,1055.0,899.0,5.0,181.0,59.0,117.0,53.0,5.767777777777778,1241.0,79.23222222222222,2.3521353746978244,13.73704488537854
Clint Hester,55,1235.0,524.0,1190.0,479.0,358.0,150.0,101.0,78.0,0.0,26.0,12.0,2.0,1.0,1.8444444444444446,127.0,53.15555555555556,9.724409448818898,10.631111111111112
Cody East,15,62.0,26.0,62.0,26.0,135.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.07555555555555556,0.0,14.924444444444445,62.0,2.984888888888889
Cody Garbrandt,85,2852.0,1101.0,2807.0,1056.0,5419.0,2161.0,214.0,130.0,0.0,65.0,27.0,98.0,33.0,0.8,279.0,84.2,10.222222222222221,16.84
Cody Gibson,45,366.0,172.0,293.0,109.0,155.0,59.0,39.0,25.0,3.0,20.0,13.0,2.0,1.0,0.6288888888888889,62.0,44.37111111111111,5.903225806451613,8.874222222222222
Cody Pfister,50,456.0,216.0,300.0,71.0,503.0,221.0,182.0,161.0,0.0,40.0,12.0,11.0,4.0,3.7777777777777777,222.0,46.22222222222222,2.054054054054054,9.244444444444444
Cody Stamann,55,1138.0,649.0,982.0,509.0,1415.0,645.0,289.0,233.0,0.0,47.0,32.0,78.0,26.0,3.42,336.0,51.58,3.386904761904762,10.315999999999999
Colby Covington,140,5506.0,3674.0,2322.0,1086.0,2991.0,1486.0,3427.0,2698.0,13.0,358.0,179.0,166.0,54.0,25.665555555555557,3798.0,114.33444444444444,1.44971037388099,4.4547815922767215
Cole Miller,65,1065.0,354.0,1041.0,334.0,1321.0,601.0,20.0,15.0,5.0,9.0,3.0,17.0,7.0,0.46,34.0,64.54,31.323529411764707,12.908000000000001
Conor McGregor,100,3263.0,1771.0,2869.0,1384.0,2944.0,1349.0,550.0,432.0,0.0,13.0,8.0,98.0,37.0,3.787777777777778,563.0,96.21222222222222,5.7957371225577266,19.242444444444445
Corey Anderson,155,10662.0,5819.0,8256.0,3816.0,4079.0,1983.0,3158.0,2488.0,0.0,451.0,232.0,168.0,60.0,16.24,3609.0,138.76,2.954280964256027,8.544334975369459
Cortney Casey,115,5329.0,2687.0,4389.0,1836.0,3427.0,1547.0,1060.0,883.0,8.0,17.0,12.0,98.0,43.0,2.8644444444444446,1085.0,112.13555555555556,4.911520737327189,22.42711111111111
Cory Sandhagen,20,179.0,108.0,147.0,80.0,949.0,420.0,43.0,33.0,0.0,1.0,1.0,17.0,8.0,0.21444444444444444,44.0,19.785555555555554,4.068181818181818,3.957111111111111
Costas Philippou,25,101.0,39.0,82.0,23.0,330.0,128.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,25.0,101.0,5.0
Court McGee,65,1395.0,830.0,931.0,421.0,1864.0,741.0,266.0,236.0,2.0,97.0,17.0,46.0,21.0,2.12,365.0,62.88,3.8219178082191783,12.576
Craig White,20,28.0,13.0,17.0,6.0,2036.0,918.0,0.0,0.0,0.0,2.0,0.0,92.0,38.0,0.0,2.0,20.0,14.0,4.0
Cris Cyborg,60,1133.0,701.0,1050.0,622.0,1610.0,567.0,216.0,151.0,0.0,8.0,6.0,16.0,2.0,0.7444444444444445,224.0,59.25555555555555,5.058035714285714,11.851111111111111
Cristina Stanciu,20,88.0,50.0,76.0,39.0,512.0,202.0,16.0,14.0,2.0,1.0,1.0,0.0,0.0,0.36,19.0,19.64,4.631578947368421,3.928
Cub Swanson,165,8079.0,4337.0,7258.0,3657.0,4408.0,1953.0,984.0,844.0,5.0,73.0,19.0,149.0,58.0,5.231111111111111,1062.0,159.76888888888888,7.607344632768362,30.542056074766354
Curtis Blaydes,85,2509.0,1527.0,1696.0,854.0,1642.0,922.0,1109.0,917.0,0.0,167.0,87.0,34.0,13.0,4.145555555555555,1276.0,80.85444444444444,1.9663009404388714,16.17088888888889
Curtis Millender,25,106.0,47.0,106.0,47.0,1008.0,445.0,6.0,3.0,0.0,0.0,0.0,4.0,1.0,0.008888888888888889,6.0,24.99111111111111,17.666666666666668,4.998222222222222
Cynthia Calvillo,50,582.0,237.0,527.0,193.0,1178.0,554.0,49.0,40.0,17.0,10.0,7.0,72.0,31.0,2.1355555555555554,76.0,47.864444444444445,7.657894736842105,9.572888888888889
Cyril Asker,30,573.0,264.0,360.0,133.0,396.0,165.0,343.0,198.0,1.0,19.0,7.0,4.0,0.0,0.7311111111111112,363.0,29.26888888888889,1.578512396694215,5.853777777777777
Daichi Abe,45,546.0,195.0,537.0,189.0,1485.0,652.0,29.0,24.0,0.0,3.0,2.0,25.0,8.0,0.022222222222222223,32.0,44.977777777777774,17.0625,8.995555555555555
Damian Grabowski,25,10.0,4.0,9.0,3.0,933.0,502.0,4.0,2.0,0.0,2.0,0.0,23.0,10.0,0.0,6.0,25.0,1.6666666666666667,5.0
Damian Stasiak,80,702.0,279.0,658.0,239.0,721.0,306.0,80.0,72.0,12.0,67.0,30.0,33.0,7.0,7.455555555555556,159.0,72.54444444444445,4.415094339622642,9.730253353204173
Damien Brown,70,1287.0,632.0,1046.0,411.0,1197.0,487.0,357.0,290.0,9.0,25.0,7.0,62.0,31.0,0.8766666666666667,391.0,69.12333333333333,3.29156010230179,13.824666666666667
Damir Hadzovic,50,280.0,138.0,214.0,81.0,1183.0,466.0,68.0,58.0,1.0,2.0,0.0,64.0,29.0,0.0,71.0,50.0,3.943661971830986,10.0
Damon Jackson,30,124.0,57.0,111.0,45.0,230.0,109.0,12.0,11.0,0.0,14.0,3.0,27.0,11.0,0.26,26.0,29.74,4.769230769230769,5.9479999999999995
Dan Henderson,80,681.0,333.0,576.0,239.0,1940.0,769.0,144.0,125.0,0.0,17.0,0.0,23.0,10.0,0.11777777777777777,161.0,79.88222222222223,4.229813664596273,15.976444444444445
Dan Hooker,100,5179.0,2689.0,3933.0,1637.0,3897.0,1667.0,1108.0,863.0,8.0,27.0,10.0,138.0,59.0,3.888888888888889,1143.0,96.11111111111111,4.531058617672791,19.22222222222222
Dan Ige,35,384.0,164.0,355.0,143.0,318.0,160.0,64.0,44.0,6.0,25.0,9.0,10.0,5.0,0.5577777777777778,95.0,34.44222222222222,4.042105263157895,6.888444444444444
Daniel Cormier,140,6964.0,4360.0,4509.0,2194.0,2884.0,1580.0,2847.0,2358.0,38.0,180.0,71.0,77.0,29.0,22.323333333333334,3065.0,117.67666666666666,2.2721044045677,5.271464835000746
Daniel Jolly,15,45.0,20.0,31.0,12.0,34.0,17.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,0.12444444444444444,16.0,14.875555555555556,2.8125,2.975111111111111
Daniel Kelly,110,5137.0,2442.0,4289.0,1712.0,2678.0,1176.0,1021.0,767.0,10.0,148.0,57.0,115.0,42.0,8.0,1179.0,102.0,4.357082273112807,12.75
Daniel Omielanczuk,105,2139.0,1644.0,1273.0,829.0,870.0,469.0,699.0,638.0,0.0,33.0,9.0,48.0,27.0,0.8711111111111111,732.0,104.1288888888889,2.9221311475409837,20.82577777777778
Daniel Sarafian,20,54.0,30.0,54.0,30.0,35.0,19.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.006666666666666667,4.0,19.993333333333332,13.5,3.9986666666666664
Daniel Spitz,30,326.0,153.0,278.0,107.0,770.0,412.0,10.0,8.0,0.0,5.0,3.0,29.0,12.0,0.1288888888888889,15.0,29.871111111111112,21.733333333333334,5.974222222222222
Daniel Spohn,20,80.0,52.0,51.0,24.0,0.0,0.0,21.0,20.0,2.0,1.0,0.0,0.0,0.0,0.12,24.0,19.88,3.3333333333333335,3.976
Daniel Teymur,30,139.0,78.0,129.0,69.0,323.0,135.0,17.0,14.0,0.0,2.0,0.0,0.0,0.0,0.23333333333333334,19.0,29.766666666666666,7.315789473684211,5.953333333333333
Danielle Taylor,75,1421.0,419.0,1382.0,385.0,1413.0,543.0,15.0,14.0,0.0,11.0,4.0,35.0,5.0,0.0,26.0,75.0,54.65384615384615,15.0
Danny Castillo,65,658.0,255.0,606.0,210.0,439.0,233.0,84.0,52.0,7.0,42.0,6.0,37.0,10.0,3.4244444444444446,133.0,61.57555555555555,4.947368421052632,12.315111111111111
Danny Henry,20,243.0,153.0,174.0,93.0,0.0,0.0,115.0,96.0,2.0,3.0,1.0,0.0,0.0,0.6133333333333333,120.0,19.386666666666667,2.025,3.8773333333333335
Danny Martinez,60,806.0,257.0,800.0,252.0,216.0,107.0,13.0,6.0,0.0,46.0,15.0,17.0,6.0,0.6688888888888889,59.0,59.33111111111111,13.661016949152541,11.866222222222223
Danny Mitchell,30,102.0,70.0,34.0,18.0,79.0,31.0,80.0,57.0,5.0,1.0,0.0,0.0,0.0,0.7822222222222223,86.0,29.217777777777776,1.186046511627907,5.843555555555556
Danny Roberts,70,1908.0,795.0,1843.0,738.0,867.0,440.0,90.0,79.0,6.0,19.0,0.0,32.0,21.0,0.8755555555555555,115.0,69.12444444444445,16.591304347826085,13.82488888888889
Daron Cruickshank,85,2242.0,955.0,2107.0,838.0,1264.0,553.0,367.0,284.0,12.0,89.0,47.0,28.0,7.0,2.582222222222222,468.0,82.41777777777777,4.7905982905982905,16.483555555555554
Darrell Horcher,40,182.0,92.0,130.0,49.0,852.0,389.0,66.0,52.0,2.0,0.0,0.0,31.0,17.0,0.7822222222222223,68.0,39.217777777777776,2.676470588235294,7.843555555555556
Darrell Montague,20,114.0,35.0,105.0,26.0,75.0,22.0,6.0,5.0,2.0,2.0,1.0,0.0,0.0,0.08,10.0,19.92,11.4,3.9840000000000004
Darren Elkins,145,8650.0,4766.0,5466.0,1958.0,2971.0,1280.0,2715.0,2311.0,63.0,407.0,119.0,144.0,61.0,18.40888888888889,3185.0,126.5911111111111,2.71585557299843,6.876629647513278
Darren Stewart,55,815.0,451.0,608.0,277.0,779.0,433.0,92.0,66.0,0.0,45.0,17.0,96.0,18.0,0.8444444444444444,137.0,54.15555555555556,5.9489051094890515,10.831111111111111
Darren Till,95,1483.0,771.0,1459.0,752.0,3642.0,1556.0,256.0,198.0,0.0,42.0,11.0,72.0,23.0,3.2222222222222223,298.0,91.77777777777777,4.976510067114094,18.355555555555554
Dashon Johnson,20,28.0,24.0,15.0,11.0,23.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.051111111111111114,7.0,19.948888888888888,4.0,3.9897777777777774
Davey Grant,35,401.0,268.0,302.0,180.0,158.0,78.0,151.0,125.0,0.0,12.0,4.0,10.0,5.0,2.188888888888889,163.0,32.81111111111111,2.460122699386503,6.562222222222222
Davi Ramos,35,380.0,135.0,368.0,125.0,1025.0,461.0,17.0,11.0,1.0,11.0,5.0,27.0,8.0,0.46111111111111114,29.0,34.53888888888889,13.10344827586207,6.9077777777777785
David Branch,30,444.0,237.0,300.0,103.0,1412.0,710.0,63.0,59.0,0.0,16.0,5.0,23.0,9.0,0.58,79.0,29.42,5.620253164556962,5.884
David Michaud,45,508.0,261.0,382.0,159.0,236.0,120.0,161.0,124.0,4.0,20.0,10.0,14.0,4.0,0.8355555555555556,185.0,44.16444444444444,2.745945945945946,8.832888888888888
David Teymur,65,1001.0,503.0,952.0,462.0,798.0,390.0,66.0,54.0,0.0,24.0,9.0,53.0,19.0,0.3844444444444444,90.0,64.61555555555556,11.122222222222222,12.923111111111112
Deiveson Figueiredo,45,273.0,151.0,236.0,120.0,1066.0,450.0,107.0,71.0,23.0,19.0,10.0,34.0,11.0,3.091111111111111,149.0,41.90888888888889,1.832214765100671,8.381777777777778
Demetrious Johnson,180,6134.0,4190.0,4361.0,2537.0,3016.0,1343.0,1276.0,1144.0,33.0,269.0,136.0,203.0,92.0,18.545555555555556,1578.0,161.45444444444445,3.887198986058302,8.705829488946138
Demian Maia,180,6676.0,4508.0,3423.0,1699.0,5019.0,2405.0,4512.0,3768.0,43.0,566.0,135.0,226.0,116.0,45.05555555555556,5121.0,134.94444444444446,1.30365163054091,2.995067817509248
Dennis Bermudez,125,5609.0,3197.0,4146.0,1935.0,3204.0,1329.0,1576.0,1169.0,22.0,331.0,119.0,196.0,65.0,13.181111111111111,1929.0,111.81888888888889,2.9077242094349405,8.483267301694344
Dennis Siver,55,860.0,483.0,526.0,185.0,253.0,95.0,304.0,270.0,4.0,15.0,9.0,18.0,5.0,3.082222222222222,323.0,51.91777777777778,2.6625386996904026,10.383555555555557
Derek Brunson,85,4024.0,2612.0,2479.0,1205.0,3252.0,1480.0,1533.0,1266.0,9.0,222.0,72.0,75.0,29.0,15.702222222222222,1764.0,69.29777777777778,2.2811791383219955,4.413246532691764
Derrick Lewis,170,4838.0,2793.0,4445.0,2447.0,3553.0,1579.0,2335.0,1642.0,0.0,127.0,42.0,105.0,33.0,15.5,2462.0,154.5,1.9650690495532088,9.96774193548387
Desmond Green,75,1246.0,600.0,1142.0,512.0,2036.0,873.0,75.0,65.0,0.0,26.0,13.0,163.0,76.0,0.6266666666666667,101.0,74.37333333333333,12.336633663366337,14.874666666666666
Devin Clark,60,1150.0,814.0,642.0,348.0,1030.0,471.0,367.0,328.0,4.0,38.0,15.0,22.0,9.0,2.8533333333333335,409.0,57.14666666666667,2.8117359413202934,11.429333333333334
Devin Powell,35,341.0,185.0,239.0,87.0,69.0,24.0,55.0,50.0,2.0,3.0,0.0,0.0,0.0,0.19555555555555557,60.0,34.80444444444444,5.683333333333334,6.9608888888888885
Dhiego Lima,55,940.0,528.0,706.0,342.0,647.0,262.0,580.0,376.0,16.0,35.0,24.0,25.0,9.0,3.888888888888889,631.0,51.111111111111114,1.4896988906497624,10.222222222222223
Diego Brandao,30,166.0,94.0,131.0,65.0,345.0,156.0,50.0,30.0,3.0,12.0,4.0,12.0,5.0,0.5644444444444444,65.0,29.435555555555556,2.5538461538461537,5.887111111111111
Diego Ferreira,50,974.0,409.0,849.0,303.0,963.0,475.0,157.0,139.0,13.0,17.0,5.0,65.0,27.0,0.5333333333333333,187.0,49.46666666666667,5.208556149732621,9.893333333333334
Diego Rivas,55,333.0,181.0,214.0,82.0,630.0,294.0,157.0,122.0,2.0,12.0,9.0,40.0,20.0,2.5344444444444445,171.0,52.465555555555554,1.9473684210526316,10.49311111111111
Diego Sanchez,105,3489.0,1354.0,3156.0,1033.0,2230.0,949.0,389.0,365.0,16.0,70.0,16.0,73.0,20.0,3.5533333333333332,475.0,101.44666666666667,7.3452631578947365,20.289333333333335
Dileno Lopes,30,146.0,73.0,109.0,46.0,139.0,47.0,38.0,25.0,3.0,4.0,3.0,6.0,1.0,0.24222222222222223,45.0,29.75777777777778,3.2444444444444445,5.951555555555556
Dmitrii Smoliakov,15,95.0,66.0,34.0,14.0,49.0,18.0,22.0,17.0,0.0,1.0,0.0,9.0,1.0,0.0,23.0,15.0,4.130434782608695,3.0
Dominic Waters,35,144.0,64.0,106.0,26.0,725.0,300.0,42.0,42.0,0.0,10.0,10.0,36.0,5.0,1.0844444444444445,52.0,33.91555555555556,2.769230769230769,6.783111111111111
Dominick Cruz,80,1004.0,421.0,970.0,389.0,2129.0,887.0,103.0,81.0,0.0,35.0,17.0,61.0,15.0,0.6166666666666667,138.0,79.38333333333334,7.27536231884058,15.876666666666669
Dominick Reyes,30,185.0,114.0,156.0,91.0,1540.0,691.0,88.0,62.0,2.0,3.0,2.0,27.0,10.0,0.5,93.0,29.5,1.989247311827957,5.9
Dominique Steele,65,634.0,417.0,406.0,207.0,371.0,145.0,251.0,207.0,0.0,41.0,24.0,20.0,5.0,1.2377777777777779,292.0,63.76222222222222,2.171232876712329,12.752444444444444
Donald Cerrone,185,12001.0,6121.0,11203.0,5450.0,6883.0,3248.0,1078.0,840.0,75.0,280.0,72.0,178.0,74.0,17.874444444444446,1433.0,167.12555555555556,8.374738311235172,9.349972027102629
Dong Hyun Kim,135,2597.0,1651.0,1519.0,661.0,2150.0,923.0,942.0,794.0,3.0,80.0,27.0,103.0,52.0,3.3666666666666667,1025.0,131.63333333333333,2.533658536585366,26.326666666666664
Dooho Choi,40,330.0,193.0,312.0,179.0,2543.0,1025.0,67.0,52.0,0.0,5.0,1.0,53.0,17.0,0.011111111111111112,72.0,39.98888888888889,4.583333333333333,7.997777777777777
Douglas Silva de Andrade,70,1213.0,419.0,1190.0,397.0,1145.0,497.0,34.0,31.0,0.0,7.0,4.0,27.0,10.0,0.5044444444444445,41.0,69.49555555555555,29.585365853658537,13.899111111111111
Drakkar Klose,60,879.0,565.0,588.0,321.0,987.0,447.0,102.0,77.0,0.0,27.0,14.0,31.0,15.0,1.09,129.0,58.91,6.813953488372093,11.782
Drew Dober,100,3692.0,1818.0,2958.0,1142.0,2442.0,1131.0,579.0,504.0,8.0,118.0,25.0,106.0,39.0,5.4688888888888885,705.0,94.53111111111112,5.2368794326241135,17.28524989841528
Dustin Kimura,35,63.0,21.0,49.0,9.0,0.0,0.0,15.0,11.0,2.0,8.0,3.0,0.0,0.0,0.0,25.0,35.0,2.52,7.0
Dustin Ortiz,155,9600.0,5915.0,6029.0,2707.0,1932.0,868.0,4181.0,3617.0,7.0,500.0,145.0,157.0,61.0,30.506666666666668,4688.0,124.49333333333334,2.04778156996587,4.080856643356643
Dustin Poirier,120,5596.0,3063.0,5169.0,2664.0,4721.0,1965.0,808.0,608.0,25.0,105.0,58.0,122.0,37.0,5.34,938.0,114.66,5.9658848614072495,21.471910112359552
Dylan Andrews,15,15.0,12.0,7.0,4.0,243.0,123.0,8.0,8.0,0.0,3.0,2.0,0.0,0.0,0.09666666666666666,11.0,14.903333333333334,1.3636363636363635,2.980666666666667
Ed Herman,55,727.0,460.0,579.0,324.0,711.0,358.0,104.0,88.0,0.0,17.0,5.0,39.0,13.0,0.6155555555555555,121.0,54.38444444444445,6.008264462809917,10.876888888888889
Eddie Alvarez,95,3310.0,1558.0,2845.0,1182.0,3661.0,1847.0,255.0,203.0,0.0,207.0,55.0,68.0,37.0,2.612222222222222,462.0,92.38777777777779,7.1645021645021645,18.477555555555558
Eddie Gordon,45,446.0,258.0,296.0,119.0,104.0,32.0,218.0,187.0,0.0,7.0,7.0,8.0,6.0,2.0855555555555556,225.0,42.91444444444444,1.9822222222222223,8.582888888888888
Eddie Wineland,80,2495.0,805.0,2417.0,727.0,2191.0,896.0,380.0,241.0,0.0,13.0,0.0,57.0,14.0,1.0666666666666667,393.0,78.93333333333334,6.348600508905853,15.786666666666667
Edgar Garcia,10,22.0,15.0,18.0,12.0,76.0,30.0,13.0,11.0,0.0,2.0,2.0,15.0,5.0,0.16,15.0,9.84,1.4666666666666666,1.968
Edson Barboza,145,5039.0,2196.0,4982.0,2153.0,3544.0,1572.0,120.0,86.0,0.0,38.0,13.0,143.0,54.0,1.4755555555555555,158.0,143.52444444444444,31.89240506329114,28.70488888888889
Efrain Escudero,65,1410.0,948.0,856.0,480.0,1078.0,433.0,613.0,506.0,2.0,13.0,8.0,69.0,25.0,3.371111111111111,628.0,61.62888888888889,2.245222929936306,12.325777777777777
Elias Silverio,60,1060.0,595.0,861.0,429.0,353.0,162.0,288.0,228.0,2.0,14.0,14.0,5.0,2.0,3.95,304.0,56.05,3.486842105263158,11.209999999999999
Elias Theodorou,125,5390.0,2856.0,4040.0,1707.0,2599.0,1150.0,1266.0,1017.0,0.0,204.0,71.0,102.0,42.0,5.406666666666666,1470.0,119.59333333333333,3.6666666666666665,22.119605425400742
Elizabeth Phillips,60,1122.0,392.0,1019.0,300.0,712.0,321.0,155.0,121.0,1.0,13.0,2.0,22.0,8.0,2.2666666666666666,169.0,57.733333333333334,6.6390532544378695,11.546666666666667
