Name,estimated_minutes,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Alex Morono,75,2244.0,1079.0,2027.0,877.0,1752.0,794.0,192.0,154.0,6.0,12.0,0.0,67.0,28.0,0.2866666666666667,210.0,74.71333333333334,10.685714285714285,14.942666666666668
Alex Nicholson,35,401.0,170.0,397.0,166.0,613.0,321.0,8.0,8.0,0.0,0.0,0.0,10.0,4.0,0.17,8.0,34.83,50.125,6.965999999999999
Alex Oliveira,140,5620.0,3295.0,4012.0,1972.0,5212.0,2244.0,1414.0,1140.0,45.0,447.0,157.0,92.0,38.0,18.557777777777776,1906.0,121.44222222222223,2.948583420776495,6.544006705783739
Alex Perez,35,370.0,196.0,279.0,116.0,432.0,201.0,105.0,88.0,9.0,17.0,9.0,28.0,13.0,1.86,131.0,33.14,2.8244274809160306,6.628
Alex White,95,3469.0,1505.0,3119.0,1197.0,2359.0,1040.0,247.0,219.0,5.0,44.0,18.0,104.0,22.0,2.631111111111111,296.0,92.36888888888889,11.719594594594595,18.473777777777777
Alexa Grasso,50,1254.0,657.0,971.0,419.0,1091.0,507.0,78.0,66.0,2.0,6.0,3.0,56.0,16.0,0.08888888888888889,86.0,49.91111111111111,14.581395348837209,9.982222222222223
Alexander Gustafsson,80,1041.0,589.0,840.0,404.0,1302.0,638.0,243.0,215.0,0.0,27.0,10.0,50.0,20.0,3.34,270.0,76.66,3.8555555555555556,15.331999999999999
Alexander Hernandez,20,14.0,9.0,13.0,8.0,1526.0,751.0,3.0,3.0,0.0,0.0,0.0,94.0,30.0,0.0,3.0,20.0,4.666666666666667,4.0
Alexander Volkanovski,65,1173.0,762.0,1069.0,670.0,1640.0,675.0,549.0,400.0,0.0,64.0,36.0,125.0,55.0,4.386666666666667,613.0,60.61333333333333,1.9135399673735727,12.122666666666666
Alexander Volkov,80,1791.0,1123.0,1478.0,864.0,2695.0,1364.0,217.0,186.0,0.0,14.0,10.0,89.0,30.0,0.5644444444444444,231.0,79.43555555555555,7.753246753246753,15.88711111111111
Alexander Yakovlev,75,987.0,479.0,910.0,417.0,1502.0,558.0,122.0,93.0,0.0,65.0,15.0,92.0,30.0,2.1977777777777776,187.0,72.80222222222223,5.278074866310161,14.560444444444446
Alexandra Albu,25,74.0,53.0,62.0,42.0,439.0,182.0,0.0,0.0,1.0,1.0,0.0,10.0,8.0,0.0022222222222222222,2.0,24.997777777777777,37.0,4.999555555555555
Alexandre Pantoja,60,962.0,512.0,800.0,368.0,1876.0,758.0,134.0,116.0,10.0,12.0,6.0,108.0,36.0,2.368888888888889,156.0,57.63111111111111,6.166666666666667,11.526222222222222
Alexis Davis,85,2268.0,1369.0,1500.0,652.0,1608.0,648.0,703.0,638.0,13.0,33.0,17.0,54.0,20.0,4.295555555555556,749.0,80.70444444444445,3.02803738317757,16.140888888888888
Alexis Dufresne,30,86.0,65.0,28.0,12.0,0.0,0.0,75.0,60.0,0.0,3.0,3.0,0.0,0.0,1.2422222222222221,78.0,28.75777777777778,1.1025641025641026,5.751555555555556
Ali Bagautinov,85,1415.0,732.0,1100.0,456.0,1220.0,534.0,379.0,297.0,4.0,102.0,35.0,32.0,17.0,4.223333333333334,485.0,80.77666666666667,2.917525773195876,16.155333333333335
Alistair Overeem,115,3458.0,2825.0,2483.0,1921.0,2860.0,1379.0,1680.0,1482.0,4.0,54.0,13.0,105.0,43.0,11.737777777777778,1738.0,103.26222222222222,1.9896432681242808,8.79742521772056
Aljamain Sterling,145,7349.0,4692.0,5054.0,2527.0,3272.0,1270.0,2641.0,2271.0,57.0,289.0,124.0,113.0,47.0,28.717777777777776,2987.0,116.28222222222223,2.460328088382993,4.049137197245222
Allen Crowder,20,112.0,78.0,72.0,45.0,91.0,52.0,65.0,56.0,1.0,6.0,2.0,4.0,3.0,0.7722222222222223,72.0,19.227777777777778,1.5555555555555556,3.8455555555555554
Alptekin Ozkilic,35,629.0,220.0,616.0,208.0,54.0,27.0,25.0,14.0,0.0,32.0,19.0,0.0,0.0,1.0877777777777777,57.0,33.91222222222222,11.035087719298245,6.782444444444444
Alvaro Herrera,25,88.0,40.0,86.0,38.0,300.0,123.0,3.0,3.0,1.0,0.0,0.0,10.0,2.0,0.03333333333333333,4.0,24.966666666666665,22.0,4.993333333333333
Amanda Cooper,40,909.0,472.0,648.0,265.0,322.0,121.0,334.0,262.0,12.0,14.0,7.0,14.0,2.0,2.31,360.0,37.69,2.525,7.537999999999999
Amanda Nunes,100,1674.0,1057.0,1339.0,790.0,1828.0,871.0,809.0,579.0,16.0,46.0,17.0,91.0,36.0,6.257777777777778,871.0,93.74222222222222,1.9219288174512055,14.980113636363637
An Ying Wang,10,47.0,15.0,45.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,9.92,23.5,1.984
Anderson Silva,80,977.0,504.0,964.0,491.0,1834.0,764.0,16.0,12.0,0.0,0.0,0.0,50.0,15.0,0.03111111111111111,16.0,79.96888888888888,61.0625,15.993777777777776
Andre Fili,125,4855.0,2160.0,4353.0,1740.0,3643.0,1539.0,860.0,537.0,8.0,253.0,105.0,115.0,44.0,10.366666666666667,1121.0,114.63333333333333,4.330954504906334,11.057877813504822
Andre Soukhamthath,55,712.0,330.0,611.0,244.0,1241.0,571.0,119.0,102.0,0.0,3.0,0.0,17.0,7.0,0.7333333333333333,122.0,54.266666666666666,5.836065573770492,10.853333333333333
Andreas Stahl,20,133.0,76.0,117.0,60.0,289.0,93.0,2.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,3.0,20.0,44.333333333333336,4.0
Andrei Arlovski,150,5468.0,3040.0,4417.0,2090.0,2590.0,1355.0,501.0,459.0,0.0,55.0,14.0,73.0,21.0,1.5466666666666666,556.0,148.45333333333335,9.83453237410072,29.69066666666667
Andrew Craig,25,114.0,56.0,67.0,16.0,8.0,3.0,50.0,43.0,0.0,1.0,0.0,0.0,0.0,0.013333333333333334,51.0,24.986666666666668,2.235294117647059,4.997333333333334
Andrew Holbrook,45,626.0,462.0,280.0,150.0,961.0,414.0,312.0,274.0,14.0,16.0,4.0,53.0,20.0,2.7377777777777776,342.0,42.26222222222222,1.8304093567251463,8.452444444444444
Andrew Sanchez,75,1765.0,1030.0,1175.0,568.0,1070.0,537.0,705.0,563.0,0.0,75.0,35.0,34.0,14.0,6.482222222222222,780.0,68.51777777777778,2.2628205128205128,10.570106273568735
Andy Enz,35,689.0,189.0,679.0,180.0,145.0,51.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.03111111111111111,4.0,34.96888888888889,172.25,6.993777777777778
Andy Ogle,35,274.0,146.0,214.0,86.0,108.0,44.0,70.0,64.0,0.0,9.0,3.0,6.0,3.0,0.58,79.0,34.42,3.4683544303797467,6.884
Angela Hill,110,4099.0,2384.0,3436.0,1796.0,3015.0,1234.0,327.0,273.0,0.0,12.0,4.0,38.0,21.0,0.8822222222222222,339.0,109.11777777777777,12.091445427728614,21.823555555555554
Angela Magana,40,328.0,95.0,314.0,82.0,204.0,77.0,4.0,3.0,1.0,5.0,1.0,4.0,2.0,0.07333333333333333,10.0,39.92666666666667,32.8,7.985333333333334
Anna Elmose,20,43.0,32.0,10.0,6.0,88.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.015555555555555555,5.0,19.984444444444446,8.6,3.996888888888889
Anthony Birchak,30,209.0,78.0,196.0,71.0,662.0,284.0,40.0,21.0,0.0,8.0,3.0,11.0,3.0,0.3377777777777778,48.0,29.662222222222223,4.354166666666667,5.932444444444444
Anthony Christodoulou,25,38.0,9.0,38.0,9.0,188.0,68.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,2.0,25.0,19.0,5.0
Anthony Hamilton,85,2320.0,1766.0,1869.0,1342.0,331.0,140.0,968.0,910.0,0.0,116.0,63.0,4.0,1.0,10.48,1084.0,74.52,2.140221402214022,7.110687022900763
Anthony Johnson,70,1754.0,911.0,1642.0,811.0,1969.0,901.0,290.0,248.0,0.0,28.0,10.0,106.0,39.0,1.9733333333333334,318.0,68.02666666666667,5.515723270440252,13.605333333333334
Anthony Njokuani,30,84.0,30.0,77.0,24.0,313.0,133.0,4.0,3.0,0.0,0.0,0.0,16.0,11.0,0.0,4.0,30.0,21.0,6.0
Anthony Perosh,15,73.0,55.0,39.0,25.0,890.0,423.0,60.0,50.0,2.0,4.0,2.0,21.0,4.0,0.68,66.0,14.32,1.106060606060606,2.864
Anthony Pettis,145,6031.0,3237.0,4927.0,2176.0,5515.0,2660.0,796.0,679.0,24.0,42.0,5.0,124.0,52.0,2.807777777777778,862.0,142.19222222222223,6.996519721577727,28.438444444444446
Anthony Smith,90,2532.0,1346.0,2333.0,1164.0,2442.0,1086.0,314.0,271.0,11.0,49.0,16.0,77.0,34.0,1.4088888888888889,374.0,88.5911111111111,6.770053475935829,17.71822222222222
Anton Zafir,10,40.0,31.0,25.0,17.0,632.0,269.0,12.0,11.0,0.0,3.0,1.0,15.0,5.0,0.21333333333333335,15.0,9.786666666666667,2.6666666666666665,1.9573333333333334
Antonio Braga Neto,30,95.0,73.0,32.0,16.0,253.0,113.0,74.0,67.0,0.0,8.0,3.0,8.0,7.0,0.9422222222222222,82.0,29.057777777777776,1.1585365853658536,5.811555555555556
Antonio Carlos Junior,115,3326.0,1824.0,2280.0,965.0,1696.0,767.0,1371.0,1042.0,33.0,269.0,134.0,66.0,31.0,24.52111111111111,1673.0,90.47888888888889,1.9880454273759713,3.6898364221305906
Antonio Dos Santos,15,75.0,39.0,73.0,37.0,55.0,45.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.051111111111111114,5.0,14.948888888888888,15.0,2.9897777777777774
Antonio Silva,35,241.0,139.0,196.0,100.0,974.0,414.0,6.0,3.0,0.0,3.0,0.0,47.0,17.0,0.0,9.0,35.0,26.77777777777778,7.0
Arjan Bhullar,25,96.0,60.0,50.0,24.0,225.0,112.0,27.0,17.0,0.0,1.0,1.0,31.0,11.0,0.32555555555555554,28.0,24.674444444444443,3.4285714285714284,4.934888888888889
Arnold Allen,60,602.0,254.0,501.0,163.0,433.0,216.0,108.0,94.0,4.0,26.0,14.0,38.0,14.0,1.2133333333333334,138.0,58.78666666666667,4.36231884057971,11.757333333333333
Artem Lobov,100,1606.0,688.0,1434.0,548.0,2193.0,962.0,133.0,108.0,0.0,13.0,4.0,46.0,16.0,3.7733333333333334,146.0,96.22666666666666,11.0,19.24533333333333
Ashkan Mokhtarian,30,29.0,15.0,23.0,12.0,811.0,300.0,8.0,5.0,0.0,3.0,1.0,22.0,3.0,0.14444444444444443,11.0,29.855555555555554,2.6363636363636362,5.971111111111111
Ashlee Evans-Smith,70,1982.0,900.0,1664.0,633.0,1314.0,535.0,293.0,229.0,0.0,43.0,15.0,29.0,11.0,2.522222222222222,336.0,67.47777777777777,5.898809523809524,13.495555555555555
Ashley Yoder,45,449.0,208.0,340.0,114.0,593.0,307.0,102.0,87.0,0.0,10.0,5.0,11.0,3.0,1.6555555555555554,112.0,43.34444444444444,4.008928571428571,8.668888888888889
Aspen Ladd,15,84.0,45.0,60.0,26.0,252.0,126.0,39.0,22.0,0.0,1.0,1.0,12.0,2.0,0.25555555555555554,40.0,14.744444444444444,2.1,2.948888888888889
Augusto Mendes,35,218.0,96.0,185.0,64.0,1365.0,595.0,3.0,0.0,0.0,9.0,4.0,58.0,22.0,0.07777777777777778,12.0,34.922222222222224,18.166666666666668,6.984444444444445
Augusto Montano,35,170.0,92.0,159.0,81.0,459.0,196.0,16.0,10.0,0.0,0.0,0.0,40.0,11.0,0.1622222222222222,16.0,34.83777777777778,10.625,6.967555555555556
Austin Arnett,40,645.0,247.0,638.0,242.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.03777777777777778,6.0,39.96222222222222,107.5,7.992444444444445
BJ Penn,40,259.0,127.0,154.0,30.0,928.0,374.0,96.0,90.0,0.0,0.0,0.0,26.0,11.0,0.0,96.0,40.0,2.6979166666666665,8.0
Barb Honchak,25,241.0,75.0,236.0,71.0,902.0,359.0,4.0,3.0,2.0,0.0,0.0,25.0,6.0,0.04666666666666667,6.0,24.953333333333333,40.166666666666664,4.990666666666667
Bartosz Fabinski,45,382.0,321.0,145.0,107.0,207.0,84.0,226.0,191.0,0.0,33.0,26.0,2.0,1.0,1.4833333333333334,259.0,43.516666666666666,1.4749034749034748,8.703333333333333
Bec Rawlings,90,2611.0,1318.0,2240.0,1029.0,1742.0,820.0,213.0,161.0,6.0,31.0,8.0,60.0,17.0,2.568888888888889,250.0,87.43111111111111,10.444,17.48622222222222
Belal Muhammad,95,3844.0,1977.0,2876.0,1195.0,2116.0,1025.0,754.0,576.0,0.0,112.0,42.0,40.0,23.0,4.993333333333333,866.0,90.00666666666666,4.438799076212471,18.00133333333333
Ben Nguyen,55,1020.0,471.0,913.0,404.0,1859.0,772.0,175.0,116.0,12.0,8.0,1.0,93.0,50.0,2.292222222222222,195.0,52.70777777777778,5.230769230769231,10.541555555555556
Ben Rothwell,45,224.0,116.0,204.0,96.0,719.0,396.0,30.0,30.0,3.0,0.0,0.0,1.0,1.0,0.0,33.0,45.0,6.787878787878788,9.0
Ben Saunders,85,3205.0,1744.0,2395.0,1032.0,2649.0,1266.0,818.0,725.0,16.0,5.0,5.0,118.0,34.0,1.9622222222222223,839.0,83.03777777777778,3.8200238379022644,16.607555555555557
Beneil Dariush,135,5655.0,2863.0,4990.0,2292.0,4241.0,1813.0,1048.0,783.0,45.0,220.0,74.0,108.0,47.0,21.585555555555555,1313.0,113.41444444444444,4.306930693069307,5.254182323570289
Benito Lopez,30,168.0,87.0,157.0,77.0,553.0,181.0,6.0,5.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,30.0,28.0,6.0
Benson Henderson,110,1846.0,1035.0,1304.0,653.0,1045.0,529.0,350.0,229.0,14.0,42.0,27.0,19.0,9.0,2.0277777777777777,406.0,107.97222222222223,4.54679802955665,21.594444444444445
Bethe Correia,90,3191.0,1828.0,2739.0,1399.0,2504.0,974.0,221.0,213.0,0.0,13.0,2.0,27.0,11.0,3.3266666666666667,234.0,86.67333333333333,13.636752136752136,17.334666666666667
