Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Matt Bessette,35,0,0,282,111,264,97,1003,366,1,1,0,0,0,67,25,0.625,1,34.375,282,0.996,55,0.766
Matt Brown,100,1,2,3776,2134,3238,1647,3689,1634,794,663,33,91,51,132,40,6.127083333,918,93.87291667,4.11328976,0.555,15.32097926,0.355
Matt Dwyer,40,0,1,214,60,209,55,393,178,17,11,0,3,0,2,1,0.041666667,20,39.95833333,10.7,0.81,959,0.968
Matt Frevola,15,1,0,66,33,53,20,538,211,19,15,2,4,2,0,0,0.827083333,25,14.17291667,2.64,0.387,17.13602015,0.375
Matt Hobar,35,0,0,226,134,154,77,478,154,124,89,0,9,6,3,1,2.147916667,133,32.85208333,1.69924812,0.265,15.29485936,0.353
Matt Mitrione,35,0,3,358,161,338,149,383,174,42,33,0,1,0,11,4,0.191666667,43,34.80833333,8.325581395,0.758,181.6086957,0.901
Matt Sayles,15,0,0,0,0,0,0,31,18,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Matt Schnell,40,0,0,376,167,319,112,691,304,55,51,3,4,2,27,5,0.779166667,62,39.22083333,6.064516129,0.69,50.3368984,0.755
Matt Van Buren,20,0,0,10,2,10,2,253,124,0,0,0,0,0,5,0,0.625,1,19.375,10,0.791,31,0.593
Matt Wiman,15,0,0,0,0,0,0,317,151,0,0,0,0,0,3,1,0.625,1,14.375,0,0,23,0.435
Matthew Lopez,60,0,1,659,417,505,266,1836,762,306,264,11,28,22,60,18,10.72916667,345,49.27083333,1.910144928,0.29,4.59223301,0.065
Mauricio Rua,70,0,1,1458,871,1165,593,2168,985,366,306,0,28,13,75,32,3.054166667,394,66.94583333,3.700507614,0.512,21.91950887,0.427
Max Griffin,65,0,1,781,380,664,277,1607,689,179,129,4,3,0,60,22,0.1625,186,64.8375,4.198924731,0.563,399,0.939
Max Holloway,155,2,7,10116,5217,9492,4668,3458,1506,1097,900,34,25,15,63,20,24.85208333,1156,130.1479167,8.750865052,0.77,5.236901668,0.077
Maximo Blanco,60,0,1,2228,1269,1781,880,575,222,427,359,1,78,29,27,9,6.55,506,53.45,4.403162055,0.58,8.160305344,0.179
Maycee Barber,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Mayra Bueno Silva,5,1,0,0,0,0,0,56,19,0,0,0,0,0,5,3,0.625,1,4.375,0,0,7,0.111
Megan Anderson,15,0,0,0,0,0,0,1256,406,0,0,0,0,0,11,2,0.625,1,14.375,0,0,23,0.435
Mehdi Baghdad,20,0,0,6,2,5,1,675,373,2,2,0,0,0,19,9,0.625,2,19.375,3,0.446,31,0.593
Melinda Fabian,30,0,0,175,102,117,49,377,128,2,0,0,0,0,1,0,0.625,2,29.375,87.5,0.982,47,0.716
Melvin Guillard,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Merab Dvalishvili,45,0,0,593,290,446,155,1448,556,54,49,0,68,28,49,21,1.3875,122,43.6125,4.860655738,0.61,31.43243243,0.64
Michael Bisping,170,0,2,8771,3168,8553,2973,2089,1006,329,266,0,18,0,25,12,1.904166667,347,168.0958333,25.27665706,0.915,88.27789934,0.831
Michael Chiesa,75,2,0,2575,1460,1420,565,2651,1137,1260,916,7,100,41,104,39,21.93125,1367,53.06875,1.883686906,0.284,2.419777714,0.02
Michael Cora,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Michael Graves,40,1,0,184,132,112,65,243,93,104,87,1,27,16,9,2,3.341666667,132,36.65833333,1.393939394,0.226,10.97007481,0.236
Michael Johnson,115,0,1,6302,2083,6191,2009,3167,1336,93,71,3,50,22,156,66,2.1125,146,112.8875,43.16438356,0.952,53.43786982,0.762
Michael McBride,25,0,0,65,42,31,16,785,375,36,27,0,1,0,47,18,0.1125,37,24.8875,1.756756757,0.269,221.2222222,0.91
Michael McDonald,15,1,0,14,6,13,5,858,362,1,1,2,0,0,10,5,0.041666667,3,14.95833333,4.666666667,0.594,359,0.932
Michael Trizano,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Michal Oleksiejczuk,15,0,0,0,0,0,0,84,35,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Michel Prazeres,125,2,0,3454,1844,2808,1299,2763,1055,775,644,13,362,123,107,41,13.00416667,1150,111.9958333,3.003478261,0.45,8.612303749,0.187
