Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Nolan Ticman,20,0,0,8,3,8,3,67,27,8,3,0,1,0,0,0,0.695833333,9,19.30416667,0.888888889,0.188,27.74251497,0.574
Nordine Taleb,105,0,2,3893,2648,2703,1514,1647,718,1624,1402,0,114,90,54,16,14.0375,1738,90.9625,2.239930955,0.335,6.479964381,0.104
Norifumi Yamamoto,10,0,0,0,0,0,0,6,3,0,0,0,0,0,2,0,0.625,1,9.375,0,0,15,0.304
Norman Parke,85,0,1,2059,874,1683,547,687,273,234,134,0,108,17,42,18,4.6375,342,80.3625,6.020467836,0.686,17.32884097,0.379
Oliver Enkamp,20,0,0,114,44,101,34,898,413,11,8,0,5,1,22,13,0.054166667,16,19.94583333,7.125,0.725,368.2307692,0.936
Olivier Aubin-Mercier,130,4,1,4217,2564,3056,1569,2605,1114,1143,976,22,357,116,104,32,9.2875,1522,120.7125,2.770696452,0.413,12.99730821,0.278
Oluwale Bamgbose,45,0,1,459,288,272,125,719,331,236,188,0,5,2,22,9,0.629166667,241,44.37083333,1.904564315,0.287,70.52317881,0.805
Omari Akhmedov,100,0,1,2951,1230,2500,847,1051,509,604,483,3,96,55,24,11,10.4,703,89.6,4.19772404,0.562,8.615384615,0.188
Oskar Piechota,30,0,1,264,177,208,129,337,168,84,75,6,6,2,11,4,2.25,96,27.75,2.75,0.408,12.33333333,0.269
Ovince Saint Preux,185,5,3,7734,3629,6783,2774,3089,1589,1356,1104,39,212,97,160,72,26.175,1607,158.825,4.812694462,0.607,6.067812798,0.097
Paddy Holohan,40,0,0,781,513,445,220,848,370,392,330,9,32,16,24,8,9.491666667,433,30.50833333,1.80369515,0.272,3.214223003,0.031
Paige VanZant,100,1,2,4080,2879,1916,1078,818,420,1630,1298,22,96,40,22,12,0.025,1748,99.975,2.33409611,0.352,3999,0.997
Pat Healy,30,0,0,155,84,100,32,0,0,19,18,0,14,2,0,0,0.033333333,33,29.96666667,4.696969697,0.597,899,0.967
Patrick Cote,100,0,2,2884,1962,1671,857,1650,742,1326,1177,6,132,30,23,5,6.189583333,1464,93.81041667,1.969945355,0.301,15.15617637,0.349
Patrick Cummins,125,0,2,5397,3399,3895,2115,3156,1423,2930,2278,9,416,204,123,57,51.63333333,3355,73.36666667,1.608643815,0.255,1.42091672,0.002
Patrick Holohan,20,1,0,39,20,29,10,67,19,17,13,1,1,0,0,0,0.4625,19,19.5375,2.052631579,0.315,42.24324324,0.7
Patrick Walsh,30,0,0,127,110,24,11,48,25,110,101,3,7,5,2,1,2.33125,120,27.66875,1.058333333,0.193,11.86863271,0.262
Patrick Williams,40,1,0,214,109,204,101,379,181,14,12,2,22,8,5,2,0.63125,38,39.36875,5.631578947,0.654,62.36633663,0.789
Paul Craig,35,2,0,348,246,224,134,256,149,48,45,9,13,3,2,2,1.075,70,33.925,4.971428571,0.618,31.55813953,0.641
Paul Felder,135,1,4,6203,2914,5605,2362,4141,1842,1007,755,18,52,22,122,49,18,1077,117,5.759517177,0.664,6.5,0.105
Paul Redmond,20,0,0,22,16,7,2,140,53,15,14,0,2,0,18,7,0.025,17,19.975,1.294117647,0.214,799,0.963
Paulo Borrachinha,5,0,1,0,0,0,0,326,179,0,0,0,0,0,17,4,0.625,1,4.375,0,0,7,0.111
Paulo Costa,30,0,3,365,218,346,201,1601,721,70,53,0,2,0,57,26,0.0375,72,29.9625,5.069444444,0.628,799,0.963
Paulo Thiago,30,0,0,119,48,110,42,236,92,0,0,0,7,1,8,2,0.025,7,29.975,17,0.877,1199,0.973
Pawel Pawlak,45,0,0,369,207,228,72,95,49,116,111,0,4,3,4,2,0.447916667,120,44.55208333,3.075,0.456,99.46511628,0.842
Pearl Gonzalez,30,0,0,118,43,112,37,26,13,7,7,1,3,2,1,1,0.166666667,11,29.83333333,10.72727273,0.811,179,0.899
Pedro Munhoz,105,3,1,3654,1512,3518,1385,2099,1007,188,176,38,126,31,119,60,3.329166667,352,101.6708333,10.38068182,0.801,30.53942428,0.592
Peter Petties,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Peter Sobotta,65,1,1,1330,855,824,387,1461,643,619,544,6,43,29,51,20,15.325,668,49.675,1.991017964,0.306,3.241435563,0.033
Petr Yan,20,0,1,45,29,40,25,583,267,12,8,0,0,0,16,3,0.133333333,12,19.86666667,3.75,0.516,149,0.881
Phil Davis,45,0,0,550,173,463,95,371,176,102,88,0,34,9,45,16,1.395833333,136,43.60416667,4.044117647,0.551,31.23880597,0.638
Phil Harris,20,0,0,5,4,4,3,114,47,0,0,0,2,0,1,0,0.625,2,19.375,2.5,0.366,31,0.593
Phil Hawes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Phillipe Nover,60,0,0,535,256,367,115,1223,455,106,93,0,46,18,28,8,0.625,152,59.375,3.519736842,0.498,95,0.837
Piotr Hallmann,55,1,0,909,559,616,301,215,87,273,235,3,36,14,27,12,4.133333333,312,50.86666667,2.913461538,0.436,12.30645161,0.268
Poliana Botelho,20,0,1,212,157,105,67,396,172,1,1,0,1,1,3,2,0.033333333,2,19.96666667,106,0.986,599,0.954
Polo Reyes,45,0,3,1488,651,1395,561,779,302,168,139,0,0,0,11,3,2.258333333,168,42.74166667,8.857142857,0.773,18.92619926,0.397
Polyana Viana,20,1,0,35,25,18,12,476,183,23,18,3,2,1,5,1,0.241666667,28,19.75833333,1.25,0.212,81.75862069,0.82
Priscila Cachoeira,10,0,0,0,0,0,0,507,232,0,0,0,0,0,20,10,0.625,1,9.375,0,0,15,0.304
Quinn Mulhern,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Rachael Ostovich,20,1,0,15,5,13,3,17,6,2,2,1,1,1,0,0,0.15,4,19.85,3.75,0.516,132.3333333,0.868
Rafael Dos Anjos,100,1,0,6079,3550,5034,2587,5071,2378,1504,1246,23,137,83,196,87,32.61666667,1664,67.38333333,3.653245192,0.508,2.06591722,0.014
Rafael Feijao,45,0,0,141,64,119,43,553,284,24,20,0,0,0,47,23,0.625,24,44.375,5.875,0.673,71,0.806
Rafael Natal,100,0,1,3395,1895,2674,1267,1395,622,776,568,0,253,75,22,8,14.96875,1029,85.03125,3.299319728,0.473,5.680584551,0.085
Rafael dos Anjos,75,0,3,1393,868,1051,542,905,434,434,378,12,27,21,21,8,7.71875,473,67.28125,2.945031712,0.439,8.71659919,0.19
Rafaello Oliveira,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Ramazan Emeev,45,0,0,268,156,226,115,1031,480,27,20,0,24,5,22,4,1.116666667,51,43.88333333,5.254901961,0.637,39.29850746,0.693
Rampage Jackson,15,0,0,0,0,0,0,271,162,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Ramsey Nijem,45,0,1,753,436,499,224,31,16,338,267,5,27,19,1,1,3.91875,370,41.08125,2.035135135,0.312,10.48325359,0.225
Randa Markos,140,0,0,6622,3729,4558,1855,2022,922,2109,1881,14,212,60,79,27,27.74166667,2335,112.2583333,2.835974304,0.422,4.046560529,0.049
Randy Brown,90,1,1,1736,898,1469,657,1031,383,209,162,15,45,14,41,20,6.927083333,269,83.07291667,6.453531599,0.702,11.9924812,0.265
Rani Yahya,100,5,0,2395,1241,1788,699,1858,797,680,585,41,230,95,66,25,30.49375,951,69.50625,2.518401682,0.37,2.279360525,0.017
Raoni Barcelos,15,0,1,0,0,0,0,98,47,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Raphael Assuncao,105,0,1,3354,1570,3186,1420,2785,1194,270,211,0,58,28,82,32,0.675,328,104.325,10.22560976,0.799,154.5555556,0.888
Raquel Pennington,115,2,0,3241,1749,2763,1302,1973,934,323,275,29,89,35,65,19,4.845833333,441,110.1541667,7.349206349,0.734,22.73172829,0.434
Rashad Coulter,25,0,0,194,91,185,82,339,119,5,3,0,2,0,7,0,0.05625,7,24.94375,27.71428571,0.922,443.4444444,0.943
Rashad Evans,55,0,0,855,284,807,244,2453,1098,4,3,0,28,4,91,35,0.295833333,32,54.70416667,26.71875,0.918,184.915493,0.902
Rashid Magomedov,90,0,1,2121,1197,1860,956,1569,703,177,149,5,12,8,49,20,0.070833333,194,89.92916667,10.93298969,0.815,1269.588235,0.979
Ray Borg,120,2,0,1498,1002,855,433,2252,1164,997,800,56,150,89,138,64,43.3375,1203,76.6625,1.245220283,0.211,1.768964523,0.009
Reginaldo Vieira,40,0,0,430,289,266,138,152,61,190,169,4,6,3,5,2,2.104166667,200,37.89583333,2.15,0.326,18.00990099,0.39
Renan Barao,140,1,1,5845,2141,5411,1766,2939,1292,384,299,6,102,33,99,33,4.0875,492,135.9125,11.8800813,0.828,33.25076453,0.649
Renato Moicano,75,2,0,2197,1025,2129,960,3374,1519,94,86,5,29,15,56,15,2.604166667,128,72.39583333,17.1640625,0.878,27.8,0.575
Renee Forte,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Reza Madadi,60,0,1,539,226,484,181,903,322,15,13,0,52,7,53,12,0.4,67,59.6,8.044776119,0.755,149,0.881
Ricardo Abreu,25,1,0,111,43,101,33,35,15,13,10,1,0,0,3,2,0.091666667,14,24.90833333,7.928571429,0.753,271.7272727,0.918
Ricardo Lamas,115,2,1,4126,1878,3679,1454,3731,1629,472,334,18,201,45,135,58,12.28333333,691,102.7166667,5.97105644,0.681,8.362279512,0.183
Ricardo Ramos,45,0,1,295,155,270,132,605,253,64,42,2,7,3,27,13,0.572916667,73,44.42708333,4.04109589,0.549,77.54545455,0.815
Richard Walsh,80,0,0,2302,1537,1560,853,519,242,472,417,0,48,26,11,2,3.833333333,520,76.16666667,4.426923077,0.582,19.86956522,0.407
Richardson Moreira,20,0,0,5,4,4,3,152,72,0,0,0,0,0,9,5,0.625,1,19.375,5,0.62,31,0.593
Richie Smullen,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Richie Vaculik,45,0,0,317,194,242,128,779,273,70,61,5,32,10,27,6,3.445833333,107,41.55416667,2.962616822,0.444,12.0592503,0.266
Rick Glenn,75,0,0,1693,829,1526,686,2294,999,403,285,2,63,8,113,39,3.1625,468,71.8375,3.617521368,0.505,22.71541502,0.433
Rick Story,75,1,0,1760,882,1510,646,1325,643,242,194,3,24,11,26,9,5.841666667,269,69.15833333,6.542750929,0.704,11.83880171,0.26
Ricky Palacios,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Ricky Rainey,10,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Ricky Simon,45,0,1,332,156,303,130,118,47,39,37,1,45,30,23,11,15.85,85,29.15,3.905882353,0.532,1.839116719,0.01
Ricky Turcios,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Rilley Dutro,15,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Rin Nakai,30,0,0,86,52,47,16,457,170,10,8,0,19,3,12,1,0.220833333,29,29.77916667,2.965517241,0.445,134.8490566,0.872
Roan Carneiro,40,1,0,118,49,105,36,916,429,13,13,3,6,2,50,17,0.789583333,22,39.21041667,5.363636364,0.641,49.65963061,0.751
Rob Font,75,1,4,2318,1093,2223,1011,3176,1323,150,122,13,66,17,46,16,2.179166667,229,72.82083333,10.12227074,0.797,33.416826,0.65
Rob Whiteford,50,0,1,412,247,287,141,640,193,98,73,0,45,16,32,2,3.879166667,143,46.12083333,2.881118881,0.431,11.88936627,0.265
Rob Wilkinson,20,0,0,58,34,46,24,138,84,2,1,0,5,2,3,3,0.079166667,7,19.92083333,8.285714286,0.756,251.6315789,0.915
Robbie Lawler,185,0,2,7728,3833,7261,3375,3547,1645,579,488,0,20,12,79,35,3.179166667,599,181.8208333,12.9015025,0.843,57.19134993,0.78
Robert Drysdale,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Robert Peralta,35,0,0,317,165,254,102,155,78,36,36,0,2,2,13,3,0.625,38,34.375,8.342105263,0.76,55,0.766
Robert Whittaker,130,0,4,5446,2574,4909,2076,3017,1494,728,562,0,32,20,194,74,11.47291667,760,118.5270833,7.165789474,0.728,10.33103323,0.224
Roberto Sanchez,25,1,0,41,26,15,6,777,286,32,22,1,5,5,30,19,1.354166667,38,23.64583333,1.078947368,0.196,17.46153846,0.381
Rocky Lee,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Rodolfo Rubio,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Rodrigo Damm,60,0,0,924,348,895,335,241,118,39,17,3,16,3,3,1,0.225,58,59.775,15.93103448,0.873,265.6666667,0.916
Rodrigo de Lima,25,0,0,41,30,14,5,396,143,28,26,2,3,1,16,5,0.904166667,33,24.09583333,1.242424242,0.21,26.64976959,0.565
Roger Narvaez,35,0,0,173,70,154,54,535,213,35,25,2,2,0,14,6,0.929166667,39,34.07083333,4.435897436,0.583,36.66816143,0.667
Roger Zapata,15,0,0,0,0,0,0,46,31,0,0,0,0,0,1,1,0.625,1,14.375,0,0,23,0.435
Rogerio Nogueira,50,0,2,692,303,634,252,2178,1001,62,55,3,0,0,112,50,0.129166667,65,49.87083333,10.64615385,0.807,386.0967742,0.938
Roland Delorme,20,0,0,44,25,20,2,0,0,25,24,0,1,1,0,0,0.625,26,19.375,1.692307692,0.265,31,0.593
Rolando Dy,50,0,0,485,202,464,182,1303,559,26,20,0,13,3,17,9,0.352083333,39,49.64791667,12.43589744,0.838,141.0118343,0.878
Roldan Sangcha-an,25,0,0,85,40,81,36,54,22,2,2,0,2,1,1,1,0.166666667,4,24.83333333,21.25,0.897,149,0.881
Roman Salazar,25,0,0,65,25,61,22,154,72,4,3,0,6,1,4,3,0.0375,10,24.9625,6.5,0.703,665.6666667,0.959
Ron Stallings,30,0,0,163,107,120,70,220,93,3,2,0,0,0,5,4,0.079166667,3,29.92083333,54.33333333,0.96,377.9473684,0.938
Ronaldo Candido De Oliveira,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Ronda Rousey,35,1,3,347,220,308,181,1111,526,53,53,3,5,4,15,9,0.154166667,61,34.84583333,5.68852459,0.658,226.027027,0.911
Ronny Markes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Rony Jason,55,0,1,357,172,306,121,552,253,23,23,5,18,6,53,18,1.016666667,46,53.98333333,7.760869565,0.749,53.09836066,0.76
Rory MacDonald,95,0,1,1915,782,1746,627,1413,694,209,175,0,16,5,12,7,0.133333333,225,94.86666667,8.511111111,0.765,711.5,0.961
Rose Namajunas,115,3,1,2813,1351,2439,1062,5675,2935,674,483,28,113,69,47,19,4.885416667,815,110.1145833,3.451533742,0.489,22.53944563,0.431
Ross Pearson,190,0,2,8978,4082,8116,3319,5012,2215,536,416,0,70,43,64,28,5.160416667,606,184.8395833,14.81518152,0.866,35.81873234,0.663
Roxanne Modafferi,35,0,1,433,154,403,132,236,71,25,20,1,9,2,0,0,0.325,35,34.675,12.37142857,0.835,106.6923077,0.85
Roy Nelson,110,0,2,2202,1039,1913,778,790,489,151,125,0,120,36,42,17,5.445833333,271,104.5541667,8.125461255,0.755,19.19892884,0.4
Royston Wee,40,0,0,314,256,53,34,91,31,282,238,0,18,15,3,2,8.520833333,300,31.47916667,1.046666667,0.192,3.694376528,0.042
Ruan Potts,20,0,0,61,34,35,10,58,35,17,16,4,3,0,4,2,0.058333333,24,19.94166667,2.541666667,0.375,341.8571429,0.927
Ruon Potts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Ruslan Magomedov,45,0,0,389,167,379,157,168,82,4,4,0,1,1,10,6,0.010416667,5,44.98958333,77.8,0.977,4319,0.998
Russell Doane,85,1,1,2526,1512,1542,650,1178,480,1282,1060,19,122,52,74,30,26.49166667,1423,58.50833333,1.77512298,0.27,2.20855615,0.015
Rustam Khabilov,125,0,0,2957,1383,2378,929,1932,839,881,711,0,240,106,132,53,19.8375,1121,105.1625,2.637823372,0.386,5.301197227,0.08
Ryan Bader,100,0,2,2533,1323,1825,711,958,383,882,726,5,234,94,51,20,6.922916667,1121,93.07708333,2.259589652,0.336,13.44477881,0.286
Ryan Benoit,60,0,2,629,234,587,200,735,251,101,58,0,10,4,18,6,0.691666667,111,59.30833333,5.666666667,0.656,85.74698795,0.827
Ryan Hall,30,0,0,201,169,41,23,173,66,147,133,1,3,1,28,7,1.4375,151,28.5625,1.331125828,0.219,19.86956522,0.407
Ryan Janes,50,0,1,970,436,847,335,522,230,66,38,0,2,2,24,10,1.7625,68,48.2375,14.26470588,0.861,27.36879433,0.571
Ryan Jimmo,30,0,1,122,77,93,55,68,37,6,6,0,3,2,9,4,0.625,9,29.375,13.55555556,0.849,47,0.716
Ryan LaFlare,110,0,0,2676,1380,2142,890,1994,802,552,489,0,72,28,164,58,6.935416667,624,103.0645833,4.288461538,0.57,14.8606188,0.302
Ryan Spann,20,0,0,2,1,2,1,244,102,0,0,0,0,0,30,11,0.625,1,19.375,2,0.307,31,0.593
Sabah Homasi,20,0,0,238,117,220,105,929,419,13,9,0,6,4,17,8,0.516666667,19,19.48333333,12.52631579,0.839,37.70967742,0.671
Sage Northcutt,90,1,2,1795,1175,1289,709,1457,577,621,527,10,74,31,37,12,8.910416667,705,81.08958333,2.546099291,0.376,9.10053776,0.202
Sai Wang,30,0,0,172,100,79,31,34,18,113,78,0,0,0,1,0,1.633333333,113,28.36666667,1.522123894,0.246,17.36734694,0.38
Said Nurmagomedov,15,0,0,0,0,0,0,570,300,0,0,0,0,0,32,21,0.625,1,14.375,0,0,23,0.435
Salim Touahri,15,0,0,0,0,0,0,396,189,0,0,0,0,0,9,5,0.625,1,14.375,0,0,23,0.435
Sam Alvey,170,1,5,7895,4116,7109,3402,3751,1570,558,451,9,22,2,133,39,29.71666667,589,140.2833333,13.4040747,0.847,4.720695457,0.068
Sam Sicilia,85,0,1,2044,1035,1590,611,528,243,643,553,18,71,36,18,9,18.95416667,732,66.04583333,2.792349727,0.416,3.484502088,0.04
Sam Stout,20,0,0,127,33,127,33,276,113,0,0,0,1,0,6,2,0.625,1,19.375,127,0.99,31,0.593
Santiago Ponzinibbio,90,0,4,3442,1392,3357,1307,1980,920,112,84,0,39,7,53,28,1.054166667,151,88.94583333,22.79470199,0.907,84.37549407,0.825
Saparbeg Safarov,15,0,0,131,37,131,37,686,327,1,0,0,2,0,17,6,0.625,3,14.375,43.66666667,0.953,23,0.435
Sara McMann,90,2,0,2338,1193,1828,757,2077,855,853,617,9,120,60,33,14,33.0625,982,56.9375,2.380855397,0.355,1.722117202,0.008
Sarah Kaufman,40,0,0,947,540,870,469,119,55,34,34,0,2,2,3,2,0.141666667,36,39.85833333,26.30555556,0.917,281.3529412,0.919
Sarah Moras,50,1,0,578,420,220,84,1103,450,372,344,3,23,3,25,8,2.295833333,398,47.70416667,1.452261307,0.233,20.77858439,0.419
Scott Askham,70,0,2,840,634,542,341,607,285,224,224,2,19,2,27,8,1.020833333,245,68.97916667,3.428571429,0.485,67.57142857,0.8
Scott Holtzman,105,1,1,3514,2130,2568,1280,944,347,907,727,10,86,48,73,28,16.34166667,1003,88.65833333,3.503489531,0.496,5.425293218,0.081
Scott Jorgensen,50,0,0,698,352,499,192,473,155,199,149,0,47,31,46,21,4.670833333,246,45.32916667,2.837398374,0.423,9.704727921,0.209
Sean O'Connell,70,0,2,2793,1633,2141,1045,1158,510,51,34,10,37,0,66,30,0.391666667,98,69.60833333,28.5,0.926,177.7234043,0.898
Sean O'Malley,35,0,1,345,196,342,195,424,169,5,5,0,6,3,2,0,0.1125,11,34.8875,31.36363636,0.934,310.1111111,0.926
Sean Soriano,40,0,0,121,80,100,62,187,43,48,35,0,0,0,9,3,0.754166667,48,39.24583333,2.520833333,0.372,52.03867403,0.757
Sean Spencer,70,0,0,1785,721,1635,575,980,385,184,173,0,6,3,34,9,3.733333333,190,66.26666667,9.394736842,0.78,17.75,0.387
Sean Strickland,115,1,1,5389,2098,5027,1802,2132,913,789,533,19,93,49,120,45,9.120833333,901,105.8791667,5.981132075,0.682,11.60849703,0.254
Seohee Ham,60,0,0,1000,474,928,408,352,164,9,8,1,15,0,3,1,0.091666667,25,59.90833333,40,0.948,653.5454545,0.959
Sergio Moraes,105,1,1,2378,1213,2147,993,2621,1177,323,280,5,66,18,69,34,15.05625,394,89.94375,6.035532995,0.689,5.97384807,0.093
Sergio Pettis,170,0,0,9330,3675,8516,2944,3490,1445,1200,904,16,136,53,131,49,18.65833333,1352,151.3416667,6.900887574,0.716,8.111210362,0.177
Seth Baczynski,25,0,0,740,209,735,205,61,33,5,2,0,18,1,0,0,0.070833333,23,24.92916667,32.17391304,0.937,351.9411765,0.929
Shamil Abdurakhimov,75,0,1,1290,727,1009,470,2182,1091,112,85,2,59,11,37,16,2.120833333,173,72.87916667,7.456647399,0.738,34.36345776,0.656
Shana Dobson,25,0,1,97,36,95,34,163,85,0,0,0,0,0,2,0,0.625,1,24.375,97,0.983,39,0.673
Shane Burgos,60,0,1,1271,601,1098,475,1085,444,129,98,0,4,4,47,17,1.0375,133,58.9625,9.556390977,0.782,56.8313253,0.779
Shane Campbell,50,0,0,895,565,719,412,1020,465,211,179,0,36,10,21,6,4.166666667,247,45.83333333,3.623481781,0.506,11,0.239
Shane Howell,20,0,0,5,2,3,0,101,48,2,2,0,0,0,15,8,0.625,2,19.375,2.5,0.366,31,0.593
Shane Young,25,0,1,83,20,81,18,464,231,0,0,0,1,1,15,8,0.070833333,1,24.92916667,83,0.981,351.9411765,0.929
Shawn Jordan,50,0,3,687,398,445,203,394,197,338,263,0,24,12,9,4,4.208333333,362,45.79166667,1.897790055,0.285,10.88118812,0.235
Shayna Baszler,15,0,0,41,19,30,8,247,136,10,10,1,4,1,2,1,0.158333333,15,14.84166667,2.733333333,0.401,93.73684211,0.835
Sheldon Westcott,30,0,1,144,74,107,43,102,33,11,9,0,19,7,2,2,0.308333333,30,29.69166667,4.8,0.606,96.2972973,0.84
Shelton Graves,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Sheymon Moraes,30,0,0,38,23,31,18,65,45,7,5,0,0,0,3,1,0.0375,7,29.9625,5.428571429,0.644,799,0.963
Shinsho Anzai,40,0,1,468,318,305,190,707,338,106,79,0,37,8,40,16,1.864583333,143,38.13541667,3.272727273,0.469,20.45251397,0.416
Shunichi Shimizu,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Sidney Outlaw,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Sijara Eubanks,15,0,0,0,0,0,0,696,286,0,0,0,0,0,18,6,0.625,1,14.375,0,0,23,0.435
Sirwan Kakai,30,0,0,179,85,146,52,353,124,25,25,0,10,5,20,8,0.983333333,35,29.01666667,5.114285714,0.63,29.50847458,0.586
Siyar Bahadurzada,35,1,2,552,384,357,211,530,234,341,274,3,6,6,10,3,4.120833333,350,30.87916667,1.577142857,0.253,7.493427705,0.165
Soa Palelei,40,0,2,264,192,122,61,72,42,126,113,0,18,4,5,3,1.3625,144,38.6375,1.833333333,0.275,28.35779817,0.578
Song Kenan,15,0,2,15,15,14,14,169,64,13,13,0,0,0,9,3,0.0125,13,14.9875,1.153846154,0.203,1199,0.973
Song Yadong,15,1,1,30,9,29,8,377,152,3,2,1,0,0,10,4,0.625,4,14.375,7.5,0.74,23,0.435
Stanislav Nedkov,5,0,0,0,0,0,0,90,54,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Stefan Sekulic,15,0,0,0,0,0,0,155,77,0,0,0,0,0,15,4,0.625,1,14.375,0,0,23,0.435
Stefan Struve,95,1,1,1838,977,1792,932,2186,1221,159,133,3,20,11,47,18,2.647916667,182,92.35208333,10.0989011,0.796,34.877262,0.659
Stephen Thompson,145,0,3,4244,1958,3985,1737,3873,1727,406,293,0,21,6,96,42,3.975,427,141.025,9.93911007,0.787,35.47798742,0.661
Steve Bosse,25,0,1,14,5,14,5,628,288,0,0,0,0,0,10,0,0.625,1,24.375,14,0.857,39,0.673
Steve Kennedy,20,0,0,12,3,12,3,348,187,0,0,0,1,0,14,8,0.625,1,19.375,12,0.829,31,0.593
Steve Montgomery,20,0,0,32,13,28,9,246,88,0,0,0,0,0,2,1,0.625,1,19.375,32,0.936,31,0.593
Steven Peterson,45,0,0,754,290,698,237,771,242,41,37,0,34,5,2,2,1.345833333,75,43.65416667,10.05333333,0.795,32.43653251,0.646
Steven Siler,20,0,0,22,11,22,11,22,11,1,1,0,0,0,2,0,0.625,1,19.375,22,0.901,31,0.593
Stevie Ray,95,0,2,2531,1357,2078,949,3196,1338,583,505,20,15,8,88,35,6.902083333,618,88.09791667,4.095469256,0.554,12.76396016,0.274
Stipe Miocic,120,0,6,6950,4150,4812,2291,2960,1577,2839,2343,0,200,61,57,21,28.38333333,3039,91.61666667,2.286936492,0.345,3.227833235,0.032
Sultan Aliev,30,0,0,133,102,54,31,807,368,89,80,0,3,2,34,13,1.939583333,92,28.06041667,1.445652174,0.23,14.46723953,0.297
Syuri Kondo,20,0,0,286,137,284,135,355,159,0,0,0,0,0,1,1,0.625,1,19.375,286,0.997,31,0.593
T.J. Dillashaw,25,0,1,601,307,541,257,0,0,85,62,2,8,2,0,0,1.341666667,95,23.65833333,6.326315789,0.696,17.63354037,0.386
TJ Dillashaw,130,0,4,10912,4879,9798,3940,3258,1251,1024,765,14,156,43,47,22,16.32916667,1194,113.6708333,9.139028476,0.777,6.961214596,0.11
TJ Waldburger,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Tae Hyun Bang,65,0,1,815,336,762,284,616,258,98,81,2,10,3,15,6,0.625,110,64.375,7.409090909,0.737,103,0.846
Tai Tuivasa,25,0,2,124,83,123,82,928,435,4,4,0,4,0,23,10,0.625,8,24.375,15.5,0.87,39,0.673
Takanori Gomi,40,0,0,1388,677,1298,602,1388,582,60,45,0,0,0,40,18,2.166666667,60,37.83333333,23.13333333,0.908,17.46153846,0.381
Takenori Sato,10,0,0,0,0,0,0,277,122,0,0,0,2,0,0,0,0.625,2,9.375,0,0,15,0.304
