striking_grappling_att_ratio,class
4.455205811,0
4.446153846,1
4.438799076,0
4.435897436,0
4.426923077,0
4.41509434,0
4.414141414,0
4.403162055,1
4.4,0
4.362318841,1
4.357082273,0
4.354166667,0
4.348148148,0
4.335585586,1
4.330954505,0
4.315068493,0
4.307692308,0
4.306930693,0
4.288461538,0
4.285714286,0
4.269722814,0
4.238425926,0
4.230215827,0
4.229813665,1
4.210526316,0
4.198924731,0
4.19772404,1
4.194690265,0
4.185674548,1
4.178947368,0
4.166666667,0
4.158371041,0
4.149321267,0
4.130434783,0
4.11328976,1
4.095469256,0
4.068181818,1
4.067357513,0
4.057142857,0
4.044117647,0
4.042105263,0
4.04109589,0
4.040598291,0
4.038848921,0
4.013545817,0
4.008928571,0
4.006103764,1
4,0
4,0
4,0
4,0
4,0
4,0
3.992256637,0
3.967105263,0
3.943661972,0
3.931034483,0
3.907936508,1
3.907692308,0
3.905882353,0
3.900297619,0
3.887198986,0
3.882352941,0
3.879699248,0
3.866055046,0
3.863636364,0
3.857142857,0
3.855555556,1
3.829850746,0
3.826086957,0
3.826086957,0
3.821917808,0
3.820023838,1
3.8125,0
3.809917355,0
3.75,1
3.75,0
3.75,0
3.721046077,0
3.71314741,0
3.709677419,0
3.700507614,1
3.695187166,0
3.666666667,0
3.666666667,0
3.663461538,0
3.653245192,0
3.636363636,0
3.623481781,0
3.617521368,0
3.613445378,0
3.606435644,0
3.597938144,1
3.589403974,0
3.55026455,0
3.543367347,0
3.526315789,0
3.519736842,0
3.512,0
3.503489531,0
3.501481481,0
3.5,0
3.486842105,0
3.486486486,0
3.478009259,1
3.46835443,0
3.451533742,0
3.450549451,0
3.448028674,0
3.428571429,1
3.428571429,0
3.428571429,0
3.421428571,0
3.414581066,0
3.386904762,1
3.369337979,0
3.360097324,0
3.356807512,0
3.351704133,0
3.351460222,0
3.348214286,0
3.345945946,0
3.333333333,0
3.333333333,0
3.299319728,0
3.294117647,0
3.291560102,0
3.278738555,1
3.272727273,0
3.252427184,0
3.25,0
3.244444444,0
3.23364486,1
3.212121212,0
3.2,0
3.181818182,0
3.175283733,1
3.166666667,1
3.163636364,1
3.14527845,0
3.103174603,0
3.085788281,0
3.07971864,0
3.075,0
3.074231177,1
3.063492063,0
3.045602606,1
3.028037383,0
3.018867925,0
3.003478261,0
3,0
3,0
3,0
3,0
3,0
2.965517241,0
2.962616822,0
2.9552,0
2.954280964,1
2.948583421,0
2.947494033,0
2.945031712,0
2.938461538,0
2.922131148,0
2.917525773,0
2.913461538,0
2.907724209,0
2.904109589,0
2.892857143,0
2.89143367,0
2.881118881,0
2.878787879,0
2.866666667,0
2.857142857,0
2.85032538,1
2.849442379,0
2.845238095,0
2.843678161,0
2.841269841,0
2.837398374,0
2.835974304,0
2.828571429,0
2.824427481,0
2.8125,0
2.811735941,0
2.802710843,0
2.793911007,0
2.792349727,0
2.781954887,0
2.774038462,0
2.770696452,0
2.770186335,1
2.769230769,0
2.764705882,0
2.756756757,0
2.751445087,0
2.75,0
2.748091603,0
2.747239264,0
2.745945946,0
2.739130435,0
2.736842105,0
2.735172414,1
2.733333333,0
2.731578947,0
2.730983302,1
2.724137931,0
2.719522592,1
2.715855573,0
2.714285714,0
2.702302632,0
2.697916667,1
2.6875,0
2.676470588,0
2.674418605,0
2.666666667,0
2.6625387,0
2.642645607,0
2.641221374,0
2.64,0
2.637823372,0
2.636363636,0
2.636363636,0
2.635606061,1
2.625,0
2.620214395,1
2.602564103,0
2.585714286,0
2.581632653,0
2.558536585,1
2.553846154,0
2.546099291,0
2.541666667,0
2.533658537,1
2.525,0
2.520833333,0
2.52,0
2.518401682,0
2.518072289,0
2.517241379,0
2.503042596,0
2.5,0
2.5,0
2.488764045,0
2.476190476,0
2.466453674,0
2.460328088,0
2.460122699,0
2.441471572,0
2.427135678,0
2.422396857,0
2.404255319,0
2.395415473,0
2.388334209,0
2.380855397,0
2.354243542,0
2.352135375,0
2.33409611,0
2.333333333,0
2.323491099,1
2.322916667,0
2.311904762,0
2.309615385,0
2.302013423,0
2.299401198,0
2.286936492,1
2.285714286,0
2.283783784,0
2.281179138,1
2.274102079,0
2.272104405,1
2.267419962,0
2.262820513,0
2.260869565,0
2.259589652,1
2.24522293,0
2.239930955,1
2.239864865,0
2.237704918,0
2.235294118,0
2.217596973,0
2.199460916,0
2.179104478,0
2.172413793,0
2.171232877,0
2.15,0
2.140221402,0
2.138075314,0
2.131944444,0
2.126760563,0
2.123641304,1
2.109243697,0
2.102020202,0
2.1,1
2.070707071,0
2.059863946,0
2.057989364,1
2.054054054,0
2.052631579,0
2.051813472,0
2.04778157,1
2.035135135,0
2.031818182,0
2.025,0
2.002570694,0
2,0
2,0
1.991017964,0
1.989643268,1
1.989247312,1
1.988045427,0
1.984654731,0
1.982222222,0
1.969945355,1
1.96630094,1
1.96506905,1
1.951871658,0
1.948717949,0
1.948717949,0
1.947368421,0
1.932835821,0
1.921928817,1
1.916901408,0
1.914454277,0
1.913539967,1
1.910144928,0
1.908496732,0
1.906976744,0
1.904564315,0
1.900967296,0
1.9,0
1.897790055,0
1.883686906,0
1.882352941,0
1.881834215,0
1.879032258,0
1.87815326,1
1.869565217,0
1.868923077,0
1.864130435,0
1.842105263,0
1.833333333,0
1.832214765,1
1.830409357,0
1.817927171,0
1.80369515,0
1.8,0
1.77512298,0
1.756756757,0
1.710918114,0
1.70749543,0
1.703966006,0
1.69924812,0
1.692307692,0
1.690799397,0
1.672727273,0
1.669354839,0
1.666666667,0
1.666666667,0
1.656410256,0
1.656156156,0
1.654786573,0
1.633079848,0
1.619047619,1
1.608643815,1
1.578512397,0
1.577142857,0
1.575757576,0
1.573459716,0
1.555555556,0
1.546875,0
1.542056075,0
1.538461538,0
1.522123894,0
1.52,0
1.517460317,0
1.513761468,0
1.5,0
1.495594714,0
1.49009247,0
1.489698891,0
1.485135135,0
1.483454851,0
1.482059282,1
1.474903475,0
1.470982143,0
1.466666667,0
1.461538462,1
1.452261307,0
1.449710374,0
1.449468085,0
1.445652174,0
1.441904762,0
1.428761651,0
1.412957468,1
1.393939394,0
1.382231405,1
1.373766686,0
1.363636364,0
1.344347826,0
1.34375,0
1.33640553,0
1.333333333,0
1.331125828,0
1.330097087,0
1.322115385,0
1.319642857,0
1.303651631,0
1.3,0
1.294117647,0
1.25,0
1.25,0
1.245220283,0
1.242424242,0
1.225806452,0
1.225352113,0
1.222222222,0
1.186046512,0
1.177419355,1
1.169230769,0
1.158536585,0
1.153846154,0
1.143518519,0
1.142857143,0
1.126582278,0
1.106060606,0
1.102564103,0
1.081784387,0
1.078947368,0
1.067331671,0
1.058823529,0
1.058333333,0
1.052631579,0
1.046666667,0
1,0
1,0
0.909090909,0
0.888888889,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
