class,striking_to_grappling_attempts_ratio
Grappler,5.5
Grappler,5.5
Grappler,5.5
Grappler,5.48
Grappler,5.46
Grappler,5.46
Grappler,5.43
Grappler,5.4
Grappler,5.39
Grappler,5.38
Grappler,5.36
Grappler,5.31
Grappler,5.28
Grappler,5.26
Grappler,5.25
Grappler,5.24
Striker,5.23
Grappler,5.23
Grappler,5.21
Grappler,5.19
Striker,5.18
Grappler,5.12
Grappler,5.11
Grappler,5.09
Striker,5.07
Grappler,5.07
Striker,5.06
Grappler,5.03
Striker,5.03
Grappler,5.02
Grappler,5.01
Grappler,5
Grappler,5
Grappler,5
Striker,4.98
Grappler,4.97
Grappler,4.95
Grappler,4.95
Grappler,4.95
Grappler,4.91
Grappler,4.89
Grappler,4.89
Grappler,4.87
Grappler,4.86
Grappler,4.86
Grappler,4.85
Grappler,4.85
Striker,4.81
Grappler,4.8
Grappler,4.8
Striker,4.79
Grappler,4.79
Grappler,4.78
Grappler,4.78
Grappler,4.77
Grappler,4.76
Grappler,4.74
Grappler,4.73
Grappler,4.7
Striker,4.68
Striker,4.67
Grappler,4.67
Grappler,4.63
Striker,4.6
Grappler,4.58
Grappler,4.58
Grappler,4.55
Striker,4.53
Grappler,4.48
Grappler,4.48
Grappler,4.46
Striker,4.45
Grappler,4.44
Grappler,4.44
Grappler,4.43
Grappler,4.42
Grappler,4.41
Striker,4.4
Grappler,4.4
Striker,4.36
Grappler,4.36
Grappler,4.35
Grappler,4.35
Striker,4.34
Grappler,4.33
Grappler,4.32
Grappler,4.31
Grappler,4.31
Grappler,4.29
Grappler,4.29
Grappler,4.27
Grappler,4.24
Grappler,4.23
Striker,4.23
Grappler,4.21
Grappler,4.2
Striker,4.2
Grappler,4.19
Striker,4.19
Grappler,4.18
Grappler,4.17
Grappler,4.16
Grappler,4.15
Grappler,4.13
Striker,4.11
Grappler,4.1
Striker,4.07
Grappler,4.07
Grappler,4.06
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.01
Grappler,4.01
Striker,4.01
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,3.99
Grappler,3.97
Grappler,3.94
Grappler,3.93
Striker,3.91
Grappler,3.91
Grappler,3.91
Grappler,3.9
Grappler,3.89
Grappler,3.88
Grappler,3.88
Grappler,3.87
Grappler,3.86
Grappler,3.86
Striker,3.86
Grappler,3.83
Grappler,3.83
Grappler,3.83
Grappler,3.82
Striker,3.82
Grappler,3.81
Grappler,3.81
Striker,3.75
Grappler,3.75
Grappler,3.75
Grappler,3.72
Grappler,3.71
Grappler,3.71
Striker,3.7
Grappler,3.7
Grappler,3.67
Grappler,3.67
Grappler,3.66
Grappler,3.65
Grappler,3.64
Grappler,3.62
Grappler,3.62
Grappler,3.61
Grappler,3.61
Striker,3.6
Grappler,3.59
Grappler,3.55
Grappler,3.54
Grappler,3.53
Grappler,3.52
Grappler,3.51
Grappler,3.5
Grappler,3.5
Grappler,3.5
Grappler,3.49
Grappler,3.49
Striker,3.48
Grappler,3.47
Grappler,3.45
Grappler,3.45
Grappler,3.45
Striker,3.43
Grappler,3.43
Grappler,3.43
Grappler,3.42
Grappler,3.41
Striker,3.39
Grappler,3.37
Grappler,3.36
Grappler,3.36
Grappler,3.35
Grappler,3.35
Grappler,3.35
